Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 25 4 2
1 317 60 6 15
2 11 28 11 1
3 7 17 7 1
4 10 33 10 4
5 426 538 11 60
6 422 307 6 23
7 3 11 3 0
8 4 11 4 1
9 8 7 8 0
10 7 16 7 1
11 9 18 9 0
12 14 26 14 0
13 11 17 11 2
14 426 298 13 28
15 424 812 7 70
16 4 33 4 4
17 6 49 6 5
18 4 17 4 1
19 8 30 8 1
20 6 14 6 0
21 13 24 13 2
22 10 16 10 1
23 6 9 6 1
24 13 20 13 1
25 2 10 2 2
26 439 134 9 12
27 9 27 9 0
28 439 312 11 42
29 8 20 8 3
30 1 3 1 1
31 14 21 14 1
32 6 47 6 3
33 5 56 5 4
34 0 2 0 1
35 7 32 7 3
36 2 7 2 0
37 9 22 9 1
38 0 0 0 0
39 8 6 0 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 7 0 7 0
50 0 0 0 0
51 0 1 0 0
