Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 16 4 0
1 6 8 6 0
2 443 255 9 13
3 328 76 7 11
4 9 29 9 2
5 10 42 10 2
6 411 322 5 12
7 6 26 6 1
8 4 11 4 1
9 6 7 6 1
10 6 15 6 1
11 7 41 7 0
12 12 39 12 1
13 466 606 12 34
14 12 23 12 0
15 418 660 8 33
16 455 231 4 10
17 458 854 7 53
18 478 183 5 12
19 8 25 8 0
20 482 157 7 19
21 13 26 13 2
22 10 19 10 0
23 16 3 1 2
24 12 24 12 0
25 3 21 3 2
26 10 23 10 0
27 10 29 10 1
28 10 52 10 2
29 8 25 8 2
30 1 15 1 0
31 14 27 14 0
32 7 71 7 1
33 476 752 6 60
34 2 2 2 0
35 9 42 9 2
36 0 2 0 2
37 52 1 2 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 10 5 10 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 73 0 1 0
