Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 305 172 4 3
1 289 300 7 2
2 9 166 9 0
3 326 450 7 7
4 10 94 10 2
5 378 770 11 26
6 403 473 7 15
7 157 13 6 0
8 248 116 3 1
9 291 110 6 1
10 327 219 7 4
11 330 88 6 6
12 390 230 12 8
13 430 585 11 20
14 12 99 12 0
15 384 477 7 13
16 420 156 6 1
17 438 943 6 40
18 450 327 4 2
19 427 300 9 10
20 6 50 6 0
21 463 409 13 12
22 449 175 8 11
23 74 14 1 1
24 463 337 12 5
25 77 104 4 2
26 458 267 10 10
27 428 266 10 3
28 347 151 10 12
29 423 195 7 3
30 37 9 1 0
31 460 405 15 5
32 440 493 6 10
33 464 1637 6 51
34 10 15 0 0
35 460 528 7 6
36 3 0 2 0
37 13 7 5 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 13 2 6 0
45 0 0 0 0
46 0 0 0 0
47 14 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 29 3 7 0
