Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 326 112 4 5
1 8 16 8 0
2 471 850 10 19
3 7 26 7 0
4 440 271 10 7
5 10 71 10 1
6 439 350 6 12
7 434 40 7 4
8 338 40 4 2
9 6 15 6 1
10 449 237 6 8
11 441 196 8 10
12 474 471 13 14
13 12 73 12 1
14 443 459 14 11
15 7 68 7 2
16 469 124 4 6
17 471 1943 7 52
18 5 54 5 1
19 478 423 9 9
20 485 505 6 11
21 478 351 13 13
22 480 289 9 13
23 1 1 1 1
24 478 252 12 1
25 4 18 4 2
26 10 48 10 1
27 10 42 10 0
28 451 258 11 8
29 478 162 8 5
30 206 5 4 0
31 475 341 15 8
32 470 371 7 16
33 479 2013 6 56
34 45 15 2 0
35 475 305 9 7
36 7 7 7 0
37 69 17 10 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 7 9 7 0
