Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 17 4 1
1 308 279 6 20
2 9 54 9 1
3 7 9 7 0
4 10 36 10 2
5 412 760 11 63
6 6 48 6 3
7 212 21 3 4
8 262 66 4 2
9 308 165 7 7
10 7 24 7 3
11 383 175 7 21
12 441 222 12 20
13 436 487 11 52
14 14 27 14 0
15 7 34 7 6
16 5 30 5 2
17 6 72 6 5
18 4 36 4 0
19 9 25 9 1
20 8 21 8 1
21 414 392 13 48
22 11 16 11 1
23 35 1 6 1
24 12 32 12 2
25 2 20 2 1
26 7 39 7 7
27 8 30 8 3
28 11 72 11 7
29 7 25 7 3
30 3 30 3 0
31 15 64 15 3
32 8 73 8 3
33 6 63 6 4
34 0 2 0 0
35 7 45 7 3
36 124 14 9 2
37 4 17 4 1
38 0 7 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 10 5 10 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 0 0 0 0
50 14 0 0 0
51 1 3 1 0
