Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 245 446 2 6
1 242 180 2 0
2 241 420 4 2
3 247 316 2 4
4 243 321 1 1
5 237 364 3 4
6 235 54 2 1
7 242 34 3 0
8 243 107 4 4
9 240 328 1 2
10 243 46 2 0
11 239 406 4 6
12 241 792 4 5
13 181 241 3 2
14 184 275 4 6
15 249 1198 0 14
16 244 400 2 7
17 211 102 2 1
18 211 10 0 0
19 212 202 2 1
20 242 33 3 1
21 242 166 1 1
22 137 77 1 1
23 240 151 3 3
24 241 380 4 4
25 245 132 4 0
26 186 497 1 7
27 186 99 2 1
28 246 68 3 0
29 247 127 4 2
30 244 105 2 1
31 241 82 7 0
32 245 106 3 0
33 1 3 1 0
34 246 107 4 2
35 242 138 0 2
36 145 81 1 3
37 247 400 2 6
38 231 184 7 0
39 247 267 2 3
40 246 172 1 1
41 245 198 2 2
42 246 325 2 4
43 238 318 3 2
44 248 116 5 0
45 239 377 3 4
46 1 3 1 0
47 249 338 2 4
48 1 6 1 1
49 249 88 2 0
50 245 225 1 4
51 238 442 3 4
52 2 21 2 0
53 238 159 0 2
54 239 150 3 0
55 245 210 6 4
56 234 89 3 1
57 243 372 2 4
58 227 44 2 0
59 243 148 0 1
60 2 8 2 0
61 184 103 1 2
62 244 138 3 2
63 248 193 2 1
64 1 3 1 0
65 1 4 1 0
66 247 143 3 2
67 190 245 1 2
68 191 67 1 0
69 242 79 8 2
70 204 175 1 5
71 237 140 5 1
72 231 325 3 2
73 247 230 2 6
74 193 111 2 1
75 238 244 1 3
76 0 0 0 0
77 247 135 3 0
78 232 134 1 4
79 244 236 1 1
80 246 122 1 0
81 247 119 3 1
82 239 206 4 4
83 228 996 0 14
84 246 706 2 8
85 247 166 1 2
86 144 152 2 2
87 180 200 1 3
88 249 223 2 4
89 237 288 2 5
90 242 217 2 1
91 131 81 4 0
92 5 2 5 0
93 123 49 2 0
94 139 258 1 2
95 116 71 0 1
96 247 152 3 1
97 72 41 0 0
