Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 68 4 1
1 302 315 7 2
2 9 144 9 1
3 7 43 7 0
4 370 413 9 6
5 366 750 10 36
6 373 343 6 18
7 157 11 5 1
8 276 81 3 0
9 301 106 6 3
10 283 46 6 9
11 371 53 5 3
12 12 97 12 2
13 406 461 10 27
14 372 324 12 8
15 7 66 7 2
16 396 121 4 3
17 7 191 7 5
18 444 281 4 6
19 389 316 8 15
20 439 447 6 10
21 13 67 13 1
22 445 169 9 13
23 17 6 1 2
24 12 78 12 2
25 2 31 2 2
26 427 235 10 5
27 9 54 9 0
28 11 98 11 3
29 7 74 7 2
30 28 3 0 0
31 429 312 14 8
32 434 493 7 16
33 433 1235 6 64
34 0 6 0 0
35 8 80 8 2
36 3 0 1 0
37 1 4 1 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 16 5 8 0
45 0 0 0 0
46 0 0 0 0
47 14 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 30 3 7 0
