Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 15 2 1
1 2 4 2 0
2 4 21 4 2
3 2 8 2 0
4 1 32 1 2
5 2 19 2 2
6 2 3 2 0
7 228 58 3 7
8 4 0 4 0
9 1 13 1 0
10 2 9 2 0
11 4 6 4 0
12 3 4 3 1
13 3 9 3 0
14 4 13 4 0
15 0 0 0 0
16 2 0 2 0
17 1 3 1 1
18 0 3 0 0
19 1 2 1 0
20 2 3 2 1
21 1 18 1 0
22 1 0 1 0
23 227 257 3 10
24 3 15 3 0
25 4 12 4 1
26 1 15 1 1
27 2 7 2 0
28 218 61 3 5
29 4 5 4 1
30 2 25 2 0
31 7 12 7 0
32 3 16 3 0
33 1 5 1 0
34 227 64 4 4
35 0 19 0 0
36 1 17 1 0
37 2 11 2 1
38 5 11 5 2
39 228 238 2 12
40 1 4 1 1
41 2 21 2 0
42 219 289 2 10
43 3 29 3 2
44 4 1 4 0
45 223 199 3 13
46 0 7 0 1
47 2 0 2 0
48 0 15 0 1
49 1 0 1 0
50 1 22 1 0
51 3 22 3 0
52 2 29 2 0
53 0 27 0 0
54 3 8 3 0
55 6 6 6 1
56 3 3 3 1
57 231 284 2 15
58 2 7 2 0
59 219 245 0 8
60 2 17 2 1
61 149 66 1 7
62 3 0 3 0
63 231 125 0 8
64 228 77 1 3
65 1 3 1 1
66 214 91 3 3
67 180 108 1 2
68 1 3 1 0
69 8 7 8 0
70 1 6 1 1
71 4 3 4 0
72 180 183 2 12
73 2 5 2 0
74 173 122 2 7
75 193 212 1 8
76 0 0 0 0
77 3 19 3 0
78 1 0 1 0
79 216 257 1 14
80 1 3 1 0
81 3 0 3 0
82 3 11 3 0
83 175 456 0 22
84 2 2 2 0
85 214 225 1 9
86 2 7 2 0
87 1 7 1 0
88 2 0 2 0
89 2 25 2 0
90 2 1 2 0
91 4 11 4 0
92 5 5 5 0
93 2 16 2 0
94 1 5 1 0
95 0 0 0 0
96 3 6 3 0
97 0 9 0 1
