Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 55 4 1
1 278 251 7 0
2 10 129 10 1
3 312 234 7 10
4 391 363 10 10
5 10 89 10 1
6 392 430 6 16
7 6 21 6 0
8 213 53 4 1
9 254 84 6 2
10 365 177 6 8
11 354 42 5 2
12 12 76 12 2
13 11 74 11 2
14 351 279 13 4
15 7 95 7 1
16 383 171 4 8
17 437 802 6 51
18 414 267 5 8
19 9 89 9 0
20 446 413 6 12
21 439 413 13 18
22 447 225 8 12
23 1 1 1 1
24 438 313 11 6
25 1 26 1 2
26 434 260 10 4
27 7 73 7 0
28 347 145 10 11
29 8 76 8 3
30 0 1 0 0
31 435 276 14 8
32 6 159 6 1
33 439 1527 6 56
34 0 6 0 0
35 435 414 8 7
36 3 0 2 0
37 4 4 4 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 6 8 6 0
