Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 243 251 2 5
1 2 9 2 0
2 236 363 4 3
3 245 363 3 4
4 1 26 1 0
5 235 270 2 2
6 232 30 2 0
7 240 45 3 1
8 4 2 4 0
9 238 314 1 5
10 240 80 2 0
11 236 145 4 2
12 4 7 4 1
13 3 10 3 0
14 181 294 4 4
15 240 629 0 14
16 242 459 2 5
17 19 3 1 1
18 0 4 0 0
19 1 8 1 0
20 3 2 3 0
21 1 12 1 0
22 1 0 1 0
23 238 240 3 2
24 240 262 4 5
25 4 12 4 1
26 185 329 1 8
27 184 95 2 1
28 3 7 3 0
29 245 216 4 1
30 240 122 2 0
31 239 101 7 0
32 3 15 3 0
33 143 100 1 0
34 241 223 4 4
35 0 25 0 0
36 140 84 1 2
37 2 11 2 0
38 205 178 6 2
39 242 254 2 3
40 244 195 1 5
41 243 194 2 3
42 2 17 2 0
43 3 37 3 0
44 246 119 5 0
45 236 275 3 5
46 239 147 1 2
47 247 359 2 6
48 242 350 0 8
49 247 118 2 1
50 243 335 1 6
51 3 33 3 0
52 2 28 2 0
53 236 176 0 2
54 237 226 3 2
55 243 300 6 6
56 233 108 3 2
57 241 353 2 4
58 2 6 2 0
59 241 221 0 1
60 234 586 2 6
61 179 92 1 4
62 242 145 3 1
63 2 1 2 0
64 239 75 1 4
65 1 6 1 0
66 243 105 3 1
67 188 270 1 1
68 189 63 1 1
69 8 9 8 0
70 195 175 1 4
71 222 117 5 3
72 3 14 3 0
73 245 302 2 5
74 192 146 2 0
75 236 233 1 4
76 242 186 0 5
77 245 142 3 1
78 1 0 1 0
79 240 191 1 1
80 244 205 1 2
81 245 185 3 2
82 236 148 4 1
83 190 564 0 13
84 244 509 2 12
85 244 234 1 4
86 2 6 2 0
87 176 219 1 1
88 244 234 2 1
89 2 13 2 0
90 2 3 2 0
91 127 77 4 0
92 244 238 5 7
93 119 48 2 0
94 132 165 1 3
95 109 93 0 1
96 198 126 3 2
97 0 13 0 0
