Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 20 4 0
1 5 16 5 0
2 518 1085 10 43
3 359 176 7 7
4 10 28 10 2
5 467 921 12 59
6 7 47 7 0
7 479 43 8 2
8 356 84 4 2
9 295 159 7 8
10 8 18 8 2
11 477 91 10 26
12 523 886 12 20
13 508 812 15 51
14 15 24 15 0
15 8 51 8 5
16 497 156 8 15
17 7 75 7 4
18 5 24 5 0
19 9 19 9 1
20 8 17 8 0
21 13 33 13 3
22 11 16 11 1
23 147 28 3 4
24 13 26 13 1
25 148 166 2 5
26 11 56 11 7
27 501 372 10 31
28 11 64 11 5
29 8 30 8 3
30 442 36 4 2
31 498 632 15 24
32 8 65 8 2
33 7 75 7 4
34 0 4 0 0
35 8 43 8 1
36 11 14 11 2
37 5 19 5 1
38 7 0 3 0
39 0 0 0 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 7 5 7 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 7 0 0 0
50 14 0 0 0
51 8 9 8 0
