Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 9 1 1
1 2 8 2 1
2 4 17 4 3
3 2 2 2 0
4 1 11 1 2
5 3 14 3 1
6 2 2 2 0
7 3 7 3 1
8 4 2 4 0
9 217 49 1 13
10 2 5 2 0
11 4 3 4 0
12 2 2 2 1
13 3 7 3 0
14 3 7 3 0
15 0 0 0 0
16 2 0 2 0
17 1 5 1 1
18 0 2 0 0
19 1 2 1 2
20 3 4 3 1
21 1 6 1 0
22 1 0 1 0
23 3 8 3 0
24 4 13 4 0
25 4 11 4 1
26 1 14 1 1
27 1 5 1 0
28 3 6 3 0
29 4 4 4 1
30 2 11 2 1
31 6 9 6 0
32 231 125 3 14
33 1 2 1 0
34 4 7 4 0
35 0 17 0 1
36 1 11 1 1
37 2 5 2 0
38 6 6 6 2
39 2 6 2 0
40 1 4 1 1
41 231 287 2 9
42 2 14 2 2
43 3 22 3 1
44 4 1 4 0
45 3 16 3 1
46 0 7 0 2
47 235 338 2 31
48 0 7 0 1
49 2 0 2 0
50 1 15 1 1
51 3 17 3 1
52 2 15 2 0
53 0 18 0 1
54 219 114 3 11
55 4 3 4 1
56 3 4 3 1
57 1 0 1 0
58 2 4 2 1
59 0 10 0 0
60 2 12 2 1
61 1 4 1 0
62 3 0 3 0
63 0 1 0 0
64 1 2 1 0
65 1 3 1 1
66 3 4 3 0
67 1 4 1 0
68 1 3 1 0
69 219 75 8 6
70 1 11 1 1
71 2 3 2 0
72 3 12 3 1
73 2 3 2 1
74 2 9 2 1
75 1 11 1 2
76 0 0 0 0
77 233 82 3 20
78 1 0 1 0
79 1 12 1 0
80 1 1 1 0
81 3 0 3 0
82 3 7 3 0
83 0 24 0 1
84 2 4 2 0
85 1 5 1 1
86 2 4 2 1
87 1 1 1 0
88 235 302 2 19
89 217 232 2 24
90 2 2 2 0
91 4 5 4 1
92 5 1 5 0
93 110 147 2 3
94 1 4 1 1
95 0 0 0 0
96 2 7 2 1
97 0 3 0 1
