Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 241 185 2 7
1 238 135 2 2
2 4 17 4 1
3 2 7 2 0
4 1 19 1 1
5 233 291 3 5
6 2 2 2 0
7 238 64 3 3
8 4 1 4 0
9 1 8 1 0
10 239 32 2 1
11 4 9 4 0
12 3 4 3 1
13 180 175 3 3
14 4 6 4 0
15 236 1120 0 21
16 241 462 2 10
17 2 5 2 1
18 0 5 0 0
19 192 10 1 2
20 3 6 3 1
21 1 6 1 0
22 1 0 1 0
23 3 13 3 0
24 4 10 4 0
25 238 166 4 5
26 184 458 1 15
27 2 4 2 0
28 242 59 3 0
29 4 12 4 1
30 240 203 2 3
31 238 135 7 2
32 3 10 3 0
33 148 64 1 3
34 4 8 4 0
35 0 15 0 0
36 1 8 1 0
37 2 7 2 0
38 194 96 6 4
39 238 319 2 8
40 244 197 1 8
41 2 7 2 0
42 2 21 2 0
43 3 24 3 0
44 4 1 4 0
45 3 13 3 0
46 1 5 1 0
47 245 354 2 9
48 0 9 0 1
49 2 0 2 0
50 238 349 1 8
51 3 18 3 0
52 2 22 2 0
53 235 178 0 1
54 3 6 3 0
55 5 6 5 1
56 225 80 3 7
57 240 379 2 9
58 2 3 2 0
59 0 12 0 0
60 2 10 2 0
61 178 75 1 3
62 238 69 3 2
63 243 135 2 8
64 238 84 1 6
65 1 5 1 0
66 243 120 3 2
67 1 4 1 0
68 190 48 1 1
69 8 4 8 0
70 1 6 1 1
71 227 134 5 4
72 217 280 3 8
73 2 3 2 0
74 193 104 2 4
75 1 12 1 1
76 0 0 0 0
77 3 2 3 0
78 1 0 1 0
79 240 370 1 4
80 244 203 1 4
81 3 0 3 0
82 4 11 4 0
83 188 614 0 13
84 2 2 2 0
85 1 5 1 1
86 2 3 2 0
87 1 3 1 0
88 242 204 2 5
89 2 12 2 0
90 2 1 2 0
91 4 6 4 0
92 5 1 5 0
93 122 31 2 0
94 136 185 1 4
95 0 0 0 0
96 223 65 3 2
97 71 102 0 0
