Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 17 4 0
1 5 14 5 0
2 391 466 9 44
3 7 12 7 0
4 9 31 9 2
5 9 43 9 5
6 4 74 4 2
7 6 25 6 2
8 4 17 4 2
9 5 11 5 2
10 348 126 6 28
11 7 53 7 1
12 12 55 12 3
13 285 287 8 53
14 12 33 12 1
15 7 44 7 6
16 4 34 4 3
17 6 61 6 5
18 5 31 5 1
19 8 35 8 0
20 7 41 7 1
21 403 357 13 34
22 8 27 8 0
23 1 1 1 1
24 12 51 12 3
25 1 9 1 2
26 398 173 9 21
27 8 78 8 2
28 11 42 11 4
29 355 50 8 8
30 44 0 2 0
31 399 283 14 5
32 8 75 8 4
33 6 69 6 3
34 0 8 0 1
35 6 71 6 5
36 0 2 0 2
37 2 8 2 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 5 5 5 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 1 0 0
