Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 23 4 0
1 356 247 8 13
2 524 915 13 11
3 359 425 7 8
4 10 33 10 2
5 473 993 12 36
6 474 209 6 9
7 490 87 9 2
8 366 90 4 1
9 357 199 8 4
10 479 223 7 10
11 489 313 11 12
12 14 65 14 0
13 15 60 15 1
14 473 371 15 6
15 474 2494 8 66
16 521 111 5 4
17 523 1712 9 52
18 533 429 5 10
19 10 29 10 1
20 6 15 6 0
21 530 320 13 10
22 533 598 11 23
23 37 5 6 1
24 530 406 14 6
25 3 22 3 2
26 11 51 11 3
27 528 310 12 5
28 476 552 11 18
29 530 227 9 11
30 356 35 5 1
31 527 269 15 5
32 523 446 7 31
33 8 96 8 3
34 0 7 0 0
35 527 340 9 11
36 235 14 11 2
37 466 45 10 0
38 0 7 0 0
39 8 6 8 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 6 0 0 0
49 7 0 7 0
50 14 0 10 0
51 8 13 8 0
