Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 20 4 0
1 317 268 6 2
2 9 86 9 0
3 7 21 7 0
4 10 41 10 2
5 430 679 11 34
6 438 379 7 13
7 8 25 8 0
8 330 84 4 1
9 319 142 7 5
10 447 131 8 12
11 6 61 6 0
12 468 355 12 10
13 482 677 12 32
14 12 43 12 0
15 434 701 7 21
16 471 200 7 5
17 473 1156 7 40
18 5 37 5 1
19 8 57 8 0
20 487 359 7 9
21 480 234 13 8
22 10 23 10 0
23 164 20 3 2
24 480 283 12 7
25 166 188 3 4
26 475 170 10 7
27 10 31 10 0
28 10 75 10 2
29 480 292 8 6
30 68 9 3 0
31 477 230 15 5
32 472 428 7 18
33 481 1672 6 54
34 10 15 0 0
35 477 341 9 8
36 7 0 0 0
37 26 5 3 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 37 5 9 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 49 2 7 0
