Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 9 2 1
1 2 8 2 0
2 4 18 4 2
3 2 4 2 0
4 1 18 1 2
5 3 15 3 2
6 2 3 2 0
7 3 4 3 0
8 4 1 4 0
9 1 7 1 0
10 2 5 2 0
11 4 3 4 0
12 3 2 3 1
13 3 5 3 0
14 4 8 4 0
15 0 0 0 0
16 2 0 2 0
17 2 4 2 1
18 0 4 0 0
19 1 3 1 0
20 3 3 3 1
21 1 6 1 0
22 1 0 1 0
23 3 5 3 0
24 4 10 4 0
25 4 10 4 1
26 1 12 1 1
27 2 4 2 0
28 3 4 3 1
29 4 4 4 1
30 2 16 2 1
31 236 214 7 10
32 3 7 3 0
33 141 83 1 5
34 4 6 4 0
35 0 16 0 0
36 138 102 1 1
37 2 8 2 0
38 6 6 6 2
39 2 8 2 0
40 1 5 1 1
41 2 13 2 0
42 237 267 2 14
43 233 306 3 17
44 4 1 4 0
45 3 12 3 0
46 1 3 1 0
47 2 0 2 0
48 0 8 0 1
49 240 153 2 11
50 236 286 1 11
51 3 10 3 0
52 2 15 2 0
53 233 222 0 9
54 234 223 3 13
55 5 4 5 1
56 3 2 3 1
57 1 0 1 0
58 2 2 2 0
59 0 13 0 0
60 2 14 2 1
61 1 3 1 0
62 215 53 3 1
63 1 0 1 0
64 1 2 1 0
65 1 4 1 1
66 3 2 3 0
67 1 5 1 0
68 1 3 1 0
69 8 6 8 0
70 184 70 1 15
71 4 3 4 0
72 3 10 3 0
73 2 2 2 0
74 2 6 2 0
75 232 335 1 14
76 0 0 0 0
77 238 128 3 10
78 1 0 1 0
79 1 11 1 0
80 1 1 1 0
81 3 0 3 0
82 3 7 3 0
83 184 439 0 19
84 238 304 2 15
85 1 3 1 1
86 2 6 2 1
87 1 5 1 0
88 2 0 2 0
89 2 13 2 0
90 233 133 2 8
91 4 8 4 0
92 238 196 5 6
93 109 55 2 1
94 134 97 1 5
95 103 88 0 3
96 3 4 3 0
97 0 3 0 0
