Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 323 123 4 2
1 326 240 7 1
2 9 73 9 0
3 329 379 7 4
4 435 201 10 4
5 438 1298 11 37
6 435 311 7 12
7 404 20 7 2
8 329 28 4 0
9 6 10 6 0
10 444 148 7 7
11 9 52 9 0
12 478 457 12 9
13 482 1035 13 39
14 438 373 14 4
15 439 1038 7 24
16 6 34 6 0
17 473 1671 7 42
18 483 278 4 8
19 481 340 8 6
20 487 391 7 7
21 480 212 13 8
22 483 259 9 7
23 209 13 3 1
24 480 193 12 3
25 212 228 4 4
26 475 207 10 3
27 11 31 11 0
28 446 273 11 12
29 480 212 7 4
30 146 7 3 0
31 477 324 15 4
32 473 252 8 5
33 481 1900 7 55
34 11 18 0 1
35 477 310 8 5
36 19 1 3 0
37 64 17 9 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 98 5 9 0
45 0 0 0 0
46 0 0 0 0
47 67 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 123 4 7 0
