Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 8 1 1
1 2 12 2 1
2 4 15 4 3
3 2 7 2 0
4 1 14 1 4
5 2 24 2 1
6 2 3 2 0
7 3 10 3 1
8 206 75 4 5
9 1 13 1 0
10 2 4 2 0
11 197 20 4 1
12 2 4 2 1
13 2 6 2 0
14 3 9 3 0
15 0 0 0 0
16 2 0 2 0
17 0 1 0 1
18 0 2 0 0
19 1 0 1 0
20 1 2 1 1
21 1 10 1 1
22 1 0 1 0
23 3 15 3 1
24 217 158 4 25
25 4 13 4 1
26 1 15 1 2
27 2 7 2 1
28 3 4 3 1
29 4 2 4 1
30 2 17 2 1
31 7 14 7 0
32 3 12 3 1
33 1 3 1 0
34 4 5 4 0
35 0 15 0 1
36 1 7 1 0
37 205 76 2 30
38 5 7 5 2
39 2 9 2 0
40 1 2 1 1
41 2 11 2 0
42 2 11 2 1
43 3 17 3 1
44 4 5 4 0
45 3 14 3 2
46 0 7 0 2
47 2 0 2 0
48 0 11 0 1
49 230 241 2 16
50 1 12 1 1
51 3 14 3 1
52 2 25 2 0
53 0 26 0 3
54 3 4 3 1
55 5 4 5 1
56 202 152 3 11
57 1 0 1 0
58 2 4 2 0
59 0 11 0 1
60 2 10 2 1
61 1 4 1 0
62 1 0 1 0
63 228 214 0 15
64 1 2 1 0
65 0 2 0 0
66 3 2 3 0
67 1 2 1 0
68 1 1 1 0
69 220 295 8 15
70 1 9 1 1
71 5 1 5 0
72 2 16 2 2
73 1 5 1 0
74 2 15 2 1
75 171 223 1 17
76 0 0 0 0
77 3 9 3 0
78 0 0 0 0
79 1 10 1 0
80 1 2 1 0
81 3 0 3 0
82 4 5 4 0
83 0 20 0 2
84 2 2 2 0
85 1 3 1 1
86 2 7 2 2
87 1 3 1 0
88 2 0 2 0
89 2 16 2 0
90 2 3 2 0
91 3 5 3 0
92 5 3 5 0
93 103 52 2 5
94 1 6 1 1
95 0 0 0 0
96 3 5 3 1
97 0 4 0 1
