Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 242 314 2 8
1 238 85 2 3
2 238 584 4 10
3 244 276 3 8
4 240 459 1 2
5 3 20 3 1
6 2 3 2 0
7 3 4 3 0
8 241 72 4 3
9 238 354 1 6
10 239 55 2 0
11 228 216 4 3
12 3 6 3 1
13 3 7 3 0
14 4 5 4 0
15 246 917 0 18
16 242 611 2 8
17 197 97 2 2
18 0 5 0 0
19 197 115 1 2
20 240 34 3 2
21 1 3 1 0
22 135 98 1 2
23 3 11 3 0
24 238 228 4 4
25 4 12 4 1
26 1 17 1 0
27 2 3 2 0
28 243 69 3 0
29 244 235 4 4
30 2 10 2 0
31 239 103 7 3
32 242 99 3 2
33 1 1 1 0
34 4 5 4 0
35 239 351 0 10
36 1 5 1 0
37 2 7 2 0
38 226 110 6 1
39 2 4 2 0
40 1 3 1 1
41 242 209 2 2
42 243 254 2 7
43 236 223 3 2
44 245 76 5 0
45 3 11 3 0
46 240 122 1 3
47 2 0 2 0
48 0 7 0 1
49 2 0 2 0
50 1 5 1 0
51 235 343 3 5
52 1 16 1 0
53 0 9 0 0
54 3 4 3 0
55 6 6 6 0
56 234 81 3 6
57 1 0 1 0
58 2 2 2 0
59 0 11 0 0
60 2 8 2 0
61 1 8 1 0
62 242 11 3 4
63 1 1 1 0
64 239 119 1 4
65 199 110 1 1
66 3 2 3 0
67 1 3 1 0
68 1 1 1 0
69 8 6 8 0
70 203 164 1 8
71 5 5 5 0
72 226 305 3 6
73 2 4 2 0
74 191 120 2 3
75 237 227 1 5
76 0 0 0 0
77 3 4 3 0
78 188 157 1 5
79 241 263 1 7
80 1 1 1 0
81 3 0 3 0
82 4 10 4 0
83 224 774 0 13
84 2 3 2 0
85 244 155 1 5
86 142 83 2 2
87 1 3 1 0
88 246 242 2 5
89 235 292 2 5
90 2 1 2 0
91 4 4 4 0
92 242 178 5 3
93 122 43 2 0
94 135 198 1 4
95 117 130 0 2
96 244 104 3 2
97 68 112 0 2
