Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 10 2 1
1 232 152 2 1
2 241 329 4 5
3 245 368 3 7
4 242 307 1 6
5 3 20 3 1
6 235 53 2 0
7 3 2 3 0
8 4 1 4 0
9 241 216 1 6
10 2 6 2 0
11 232 306 4 6
12 242 543 4 9
13 3 7 3 0
14 4 8 4 0
15 0 0 0 0
16 245 426 2 7
17 2 4 2 1
18 0 4 0 0
19 2 3 2 0
20 3 5 3 1
21 243 82 1 2
22 136 84 1 1
23 241 152 3 3
24 4 10 4 0
25 242 97 4 3
26 187 443 1 8
27 186 66 2 1
28 3 4 3 0
29 4 8 4 1
30 2 13 2 0
31 242 92 7 0
32 245 116 3 1
33 146 63 1 2
34 244 128 4 1
35 242 131 0 4
36 143 116 1 3
37 245 410 2 9
38 230 212 7 5
39 245 233 2 1
40 1 6 1 1
41 2 13 2 0
42 2 13 2 1
43 239 265 3 2
44 246 132 5 1
45 240 354 3 5
46 242 142 1 6
47 249 304 2 5
48 245 458 0 12
49 247 94 2 0
50 245 333 1 2
51 237 352 3 3
52 2 25 2 0
53 239 147 0 2
54 3 3 3 0
55 244 224 6 3
56 236 57 3 2
57 2 0 2 0
58 227 52 2 1
59 0 13 0 0
60 2 29 2 0
61 182 108 1 3
62 245 105 3 1
63 247 225 2 7
64 1 3 1 0
65 196 105 1 1
66 246 150 3 0
67 189 173 1 1
68 1 1 1 0
69 8 4 8 0
70 204 202 1 6
71 5 4 5 0
72 231 299 3 6
73 2 4 2 0
74 2 6 2 0
75 1 6 1 1
76 0 0 0 0
77 244 178 3 1
78 231 171 1 4
79 243 275 1 4
80 246 231 1 3
81 3 0 3 0
82 232 193 4 3
83 0 60 0 0
84 246 758 2 12
85 1 2 1 0
86 143 78 2 1
87 175 246 1 8
88 2 0 2 0
89 237 314 2 7
90 241 350 2 5
91 130 79 4 0
92 5 2 5 0
93 122 105 2 2
94 137 269 1 5
95 0 0 0 0
96 3 11 3 0
97 66 67 0 0
