Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 347 257 4 5
1 350 185 7 10
2 11 39 11 0
3 353 595 7 13
4 10 30 10 3
5 478 1286 13 54
6 7 30 7 0
7 8 18 8 0
8 354 128 4 4
9 8 8 8 0
10 483 191 8 11
11 10 44 10 0
12 518 464 13 11
13 14 50 14 1
14 16 26 16 0
15 465 763 8 33
16 516 120 7 8
17 8 108 8 4
18 538 541 5 17
19 525 459 9 14
20 7 13 7 0
21 525 177 13 11
22 10 17 10 0
23 271 26 6 2
24 525 271 13 16
25 271 272 5 3
26 11 31 11 1
27 13 24 13 0
28 490 418 11 17
29 525 402 8 11
30 3 21 3 0
31 15 29 15 0
32 528 420 7 37
33 526 1383 8 77
34 0 5 0 0
35 8 32 8 2
36 143 2 2 1
37 11 26 11 0
38 0 7 0 0
39 8 6 7 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 7 0 7 0
50 10 4 10 0
51 8 9 8 0
