Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 338 125 4 7
1 8 14 8 0
2 12 49 12 1
3 7 15 7 0
4 10 28 10 2
5 464 653 11 53
6 471 682 6 38
7 9 19 9 0
8 4 15 4 1
9 344 149 8 2
10 7 23 7 3
11 9 28 9 1
12 14 40 14 0
13 516 1555 14 53
14 15 20 15 0
15 8 51 8 5
16 505 183 6 12
17 7 103 7 5
18 5 20 5 0
19 514 469 9 22
20 8 26 8 2
21 13 33 13 2
22 517 162 12 14
23 32 3 1 1
24 13 42 13 2
25 3 23 3 1
26 509 312 10 29
27 11 38 11 1
28 482 252 11 36
29 9 20 9 3
30 4 19 4 1
31 511 217 14 16
32 508 395 7 44
33 6 67 6 4
34 8 7 0 0
35 9 46 9 3
36 2 8 2 0
37 11 22 11 1
38 0 7 0 0
39 7 6 7 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 10 5 10 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 7 0 7 0
50 10 4 10 0
51 8 11 8 0
