Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 325 195 4 3
1 328 281 7 4
2 466 497 9 5
3 331 380 7 5
4 434 277 10 6
5 437 1196 11 30
6 437 437 7 16
7 262 30 7 0
8 327 53 4 0
9 329 154 6 3
10 443 297 7 6
11 434 154 6 4
12 466 295 12 7
13 475 794 11 26
14 437 465 14 4
15 434 862 7 18
16 464 140 6 1
17 466 1359 7 36
18 476 343 5 5
19 474 409 8 7
20 480 490 7 9
21 473 334 13 7
22 475 231 9 10
23 186 19 3 2
24 473 261 12 6
25 189 213 4 4
26 468 270 10 5
27 471 283 10 2
28 435 192 10 12
29 473 286 8 4
30 80 9 3 0
31 470 347 15 4
32 466 432 8 9
33 474 2118 6 53
34 24 18 0 0
35 470 369 9 5
36 7 0 5 0
37 27 11 9 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 37 5 9 0
45 0 0 0 0
46 0 0 0 0
47 28 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 58 3 7 0
