Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 245 308 2 1
1 240 150 2 2
2 238 405 4 2
3 247 344 3 3
4 1 29 1 0
5 237 414 3 3
6 228 35 2 0
7 242 81 3 0
8 243 105 4 4
9 240 349 1 3
10 242 56 2 0
11 238 295 4 4
12 241 566 4 6
13 179 270 3 3
14 182 310 4 3
15 248 837 0 16
16 244 417 2 4
17 198 62 2 1
18 0 8 0 0
19 198 118 1 2
20 242 21 3 1
21 242 148 1 1
22 135 72 1 1
23 240 145 3 2
24 239 343 4 2
25 245 154 4 3
26 185 308 1 7
27 184 93 2 0
28 246 58 3 0
29 247 175 4 1
30 242 96 2 0
31 241 149 7 0
32 245 135 3 2
33 145 93 1 2
34 244 177 4 1
35 241 156 0 4
36 142 119 1 3
37 245 349 2 4
38 208 182 7 1
39 2 10 2 0
40 246 220 1 2
41 245 250 2 4
42 246 344 2 7
43 238 323 3 1
44 248 186 5 1
45 239 246 3 2
46 241 157 1 1
47 249 449 2 5
48 244 323 0 6
49 249 134 2 1
50 1 15 1 0
51 237 369 3 5
52 237 248 2 4
53 238 193 0 1
54 239 232 3 2
55 6 6 6 1
56 235 132 3 2
57 243 297 2 4
58 216 84 2 1
59 243 205 0 2
60 234 565 2 5
61 180 78 1 0
62 244 140 3 1
63 248 203 2 0
64 1 3 1 0
65 192 125 1 0
66 3 4 3 0
67 188 279 1 1
68 189 86 1 0
69 242 101 8 2
70 200 138 1 4
71 207 162 5 1
72 227 324 3 1
73 247 335 2 3
74 197 150 2 0
75 238 256 1 3
76 244 173 0 4
77 247 181 3 0
78 191 187 1 2
79 242 231 1 2
80 246 156 1 1
81 247 160 3 1
82 4 17 4 0
83 190 608 0 16
84 246 577 2 10
85 247 194 1 3
86 142 133 2 2
87 177 254 1 3
88 247 241 2 3
89 237 252 2 2
90 240 156 2 3
91 129 78 4 0
92 5 3 5 0
93 122 39 2 0
94 135 167 1 2
95 116 65 0 0
96 198 144 3 2
97 68 68 0 1
