Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 242 460 2 7
1 2 9 2 0
2 238 463 4 3
3 244 314 2 2
4 240 314 1 1
5 3 13 3 0
6 2 5 2 0
7 240 48 3 0
8 241 161 4 3
9 238 274 1 8
10 239 50 2 0
11 4 9 4 0
12 3 7 3 1
13 181 250 3 1
14 184 310 4 4
15 246 1240 0 18
16 242 440 2 4
17 202 132 2 3
18 0 5 0 0
19 202 103 1 2
20 240 22 3 1
21 240 157 1 1
22 135 117 1 2
23 3 12 3 0
24 239 456 4 4
25 242 83 4 1
26 1 21 1 0
27 186 79 2 0
28 243 47 3 0
29 244 170 4 3
30 241 105 2 0
31 239 124 7 1
32 242 86 3 1
33 1 3 1 0
34 4 7 4 0
35 239 198 0 2
36 144 99 1 2
37 242 299 2 7
38 6 6 6 0
39 240 135 2 5
40 1 4 1 1
41 242 193 2 1
42 243 382 2 8
43 236 224 3 1
44 245 106 5 0
45 3 10 3 0
46 1 3 1 0
47 246 276 2 7
48 242 437 0 10
49 246 71 2 0
50 1 5 1 0
51 237 276 3 5
52 237 230 2 7
53 236 171 0 2
54 238 186 3 2
55 242 203 5 5
56 227 69 3 4
57 242 275 2 4
58 222 138 2 0
59 239 194 0 2
60 2 10 2 0
61 1 8 1 0
62 242 154 3 3
63 1 1 1 0
64 240 65 1 2
65 1 3 1 0
66 244 155 3 2
67 190 209 1 1
68 191 69 1 0
69 8 5 8 0
70 190 143 1 4
71 5 5 5 0
72 228 393 3 4
73 244 300 2 8
74 203 118 2 1
75 1 11 1 1
76 242 161 0 4
77 244 174 3 1
78 1 0 1 0
79 241 199 1 2
80 243 189 1 2
81 3 0 3 0
82 4 13 4 0
83 190 902 0 11
84 2 3 2 0
85 1 2 1 0
86 144 95 2 2
87 179 228 1 3
88 246 213 2 5
89 236 338 2 6
90 241 194 2 1
91 130 46 4 0
92 242 316 5 6
93 122 58 2 0
94 1 2 1 0
95 115 122 0 1
96 3 14 3 0
97 71 78 0 1
