Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 354 224 4 9
1 361 236 8 11
2 530 617 12 22
3 7 22 7 0
4 485 152 10 8
5 12 75 12 1
6 482 298 7 10
7 8 28 8 0
8 4 13 4 0
9 360 216 6 5
10 7 16 7 1
11 496 248 12 15
12 535 746 13 22
13 538 916 15 35
14 15 25 15 0
15 8 56 8 2
16 8 29 8 0
17 529 1444 8 64
18 5 34 5 0
19 537 366 10 18
20 8 17 8 0
21 536 356 13 13
22 11 14 11 0
23 6 15 6 1
24 536 384 13 9
25 253 36 5 3
26 11 42 11 2
27 533 458 10 7
28 11 42 11 2
29 8 32 8 2
30 478 30 5 0
31 15 36 15 0
32 530 274 8 29
33 537 1793 8 68
34 2 5 2 0
35 533 479 9 15
36 128 14 11 1
37 372 26 8 0
38 0 0 0 0
39 12 0 7 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 10 5 10 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 14 0 9 0
51 8 16 8 0
