Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 7 2 1
1 2 8 2 0
2 4 17 4 1
3 246 276 3 5
4 1 19 1 1
5 3 12 3 0
6 236 51 2 1
7 3 3 3 0
8 243 100 4 2
9 240 335 1 3
10 2 6 2 0
11 232 330 4 5
12 242 577 4 6
13 181 164 3 1
14 4 7 4 0
15 248 1313 0 16
16 244 426 2 8
17 209 107 2 2
18 0 4 0 0
19 210 150 2 0
20 237 20 3 1
21 241 165 1 2
22 137 77 1 1
23 240 184 3 5
24 240 348 4 3
25 244 80 4 2
26 187 474 1 6
27 186 83 2 0
28 245 47 3 0
29 246 151 4 2
30 2 14 2 0
31 7 10 7 0
32 244 106 3 0
33 1 1 1 0
34 241 91 4 1
35 0 10 0 0
36 1 7 1 0
37 242 342 2 5
38 229 209 7 2
39 242 192 2 2
40 1 3 1 1
41 244 197 2 3
42 245 348 2 6
43 238 243 3 2
44 5 2 5 0
45 239 321 3 5
46 241 99 1 5
47 2 0 2 0
48 0 5 0 1
49 248 109 2 0
50 244 392 1 6
51 239 352 3 4
52 237 263 2 7
53 238 141 0 1
54 240 138 3 0
55 6 7 6 1
56 237 101 3 2
57 243 335 2 6
58 226 57 2 0
59 241 149 0 1
60 237 967 2 11
61 181 112 1 3
62 244 165 3 1
63 247 109 2 2
64 241 64 1 0
65 1 3 1 0
66 3 3 3 0
67 190 129 1 1
68 1 1 1 0
69 242 84 8 2
70 1 6 1 1
71 238 175 5 2
72 231 268 3 1
73 246 196 2 5
74 201 92 2 0
75 239 195 1 4
76 244 116 0 2
77 246 136 3 1
78 230 126 1 6
79 243 222 1 2
80 245 133 1 0
81 246 153 3 4
82 4 6 4 0
83 224 762 0 13
84 245 543 2 10
85 246 125 1 2
86 144 119 2 1
87 180 178 1 4
88 2 0 2 0
89 237 252 2 5
90 241 85 2 0
91 4 12 4 0
92 244 320 5 4
93 123 38 2 1
94 1 1 1 0
95 0 0 0 0
96 3 13 3 0
97 70 49 0 0
