Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 40 4 1
1 7 22 7 0
2 10 108 10 1
3 328 320 7 13
4 426 331 10 13
5 412 701 12 41
6 7 81 7 2
7 3 26 3 1
8 4 22 4 0
9 7 15 7 0
10 388 142 8 14
11 382 83 6 14
12 444 418 12 37
13 12 58 12 1
14 13 49 13 1
15 8 60 8 5
16 439 139 7 6
17 7 112 7 4
18 4 58 4 1
19 9 52 9 1
20 491 682 7 38
21 13 75 13 2
22 10 49 10 0
23 3 13 3 1
24 12 73 12 1
25 116 23 1 4
26 10 94 10 5
27 481 339 10 18
28 10 99 10 4
29 462 105 7 5
30 1 20 1 0
31 14 67 14 2
32 477 555 6 34
33 7 91 7 3
34 9 9 0 0
35 481 409 8 19
36 7 0 3 0
37 25 1 2 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 6 9 6 0
