Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 12 2 1
1 241 112 2 0
2 238 261 4 6
3 246 292 3 3
4 1 18 1 0
5 3 20 3 0
6 235 95 2 2
7 3 4 3 0
8 243 126 4 2
9 240 352 1 6
10 241 78 2 0
11 238 253 4 4
12 4 8 4 1
13 3 7 3 0
14 184 314 4 4
15 248 996 0 12
16 244 493 2 7
17 204 106 2 2
18 0 6 0 0
19 205 130 2 2
20 241 25 3 1
21 1 2 1 0
22 136 103 1 0
23 240 170 3 4
24 239 343 4 4
25 244 136 4 2
26 1 15 1 0
27 2 4 2 0
28 245 52 3 0
29 246 187 4 3
30 243 114 2 2
31 241 105 7 1
32 244 105 3 0
33 1 1 1 0
34 240 143 4 1
35 0 13 0 0
36 1 8 1 0
37 241 388 2 7
38 229 220 7 2
39 241 232 2 2
40 245 218 1 3
41 244 264 2 2
42 2 8 2 0
43 238 365 3 2
44 247 83 5 1
45 239 484 3 8
46 241 113 1 4
47 248 433 2 7
48 241 537 0 11
49 248 92 2 0
50 244 289 1 4
51 3 35 3 0
52 2 18 2 0
53 238 196 0 2
54 239 182 3 1
55 6 5 6 1
56 236 79 3 3
57 242 399 2 5
58 225 100 2 1
59 242 137 0 1
60 2 9 2 0
61 182 119 1 2
62 243 121 3 2
63 2 1 2 0
64 1 4 1 0
65 202 126 1 0
66 244 126 3 3
67 1 2 1 0
68 1 1 1 0
69 241 95 8 3
70 1 7 1 0
71 237 130 5 2
72 229 357 3 4
73 246 233 2 8
74 193 108 2 1
75 238 272 1 3
76 0 0 0 0
77 246 155 3 1
78 1 0 1 0
79 243 257 1 2
80 1 1 1 0
81 246 142 3 3
82 238 232 4 3
83 224 796 0 13
84 245 669 2 11
85 246 203 1 3
86 144 115 2 1
87 179 229 1 5
88 2 0 2 0
89 236 239 2 6
90 240 142 2 1
91 131 63 4 0
92 245 213 5 4
93 123 71 2 0
94 136 289 1 2
95 0 0 0 0
96 246 187 3 3
97 0 4 0 0
