Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 22 2 1
1 219 105 2 4
2 226 316 4 6
3 2 29 2 0
4 1 47 1 0
5 221 266 3 1
6 204 23 2 2
7 3 11 3 0
8 227 71 4 3
9 233 350 1 3
10 2 12 2 0
11 206 86 4 0
12 216 308 3 8
13 177 242 3 4
14 181 317 4 8
15 0 0 0 0
16 235 281 2 6
17 43 6 2 1
18 53 4 0 0
19 1 10 1 0
20 170 15 3 0
21 237 184 1 0
22 1 0 1 0
23 232 269 3 3
24 230 315 4 3
25 4 18 4 1
26 183 183 1 9
27 184 49 2 0
28 200 87 3 2
29 236 187 4 2
30 200 167 2 4
31 236 204 7 4
32 3 33 3 0
33 144 70 1 0
34 237 219 4 0
35 234 199 0 3
36 1 29 1 0
37 237 345 2 8
38 6 18 6 1
39 237 188 2 4
40 1 10 1 1
41 2 45 2 0
42 2 32 2 1
43 3 68 3 0
44 4 3 4 0
45 3 30 3 0
46 0 7 0 0
47 2 0 2 0
48 237 267 0 7
49 221 159 2 0
50 1 49 1 1
51 3 43 3 0
52 207 357 2 5
53 219 157 0 2
54 227 204 3 2
55 231 287 6 6
56 209 105 3 4
57 237 298 2 5
58 200 101 2 1
59 0 34 0 0
60 2 43 2 1
61 1 5 1 0
62 3 0 3 0
63 225 171 1 3
64 217 64 1 1
65 189 223 1 3
66 3 16 3 0
67 186 128 1 1
68 1 10 1 0
69 8 14 8 0
70 1 24 1 1
71 172 124 4 3
72 199 288 3 6
73 227 319 1 5
74 2 21 2 0
75 209 229 1 5
76 237 216 0 2
77 202 224 3 6
78 1 0 1 0
79 224 177 1 1
80 216 172 1 2
81 213 202 3 3
82 3 20 3 0
83 0 67 0 1
84 230 290 2 10
85 1 11 1 1
86 2 25 2 0
87 167 272 1 5
88 230 293 2 6
89 219 214 2 5
90 209 151 2 4
91 126 62 4 1
92 236 230 5 8
93 101 79 2 2
94 1 7 1 0
95 0 0 0 0
96 3 10 3 0
97 62 59 0 1
