Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 39 4 2
1 360 234 9 16
2 518 603 12 17
3 7 16 7 0
4 10 36 10 3
5 472 1268 12 48
6 468 125 7 8
7 9 22 9 0
8 359 99 4 4
9 7 9 7 0
10 8 10 8 1
11 480 110 10 17
12 13 40 13 0
13 15 29 15 1
14 472 321 15 17
15 473 895 8 39
16 7 32 7 2
17 8 61 8 4
18 529 370 5 19
19 10 31 10 0
20 6 11 6 0
21 13 29 13 2
22 11 18 11 0
23 6 15 6 1
24 524 198 13 15
25 178 26 3 4
26 10 27 10 1
27 11 22 11 1
28 11 34 11 2
29 8 23 8 2
30 307 20 3 1
31 15 24 15 0
32 519 448 7 46
33 525 1336 7 86
34 1 4 1 0
35 9 27 9 2
36 11 14 11 1
37 7 12 7 0
38 0 0 0 0
39 7 0 7 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 233 5 6 0
48 5 0 0 0
49 0 0 0 0
50 10 4 10 0
51 7 10 7 0
