Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 244 337 2 4
1 2 8 2 0
2 240 421 4 2
3 246 330 3 5
4 242 339 1 3
5 237 294 3 3
6 236 69 2 1
7 242 43 3 0
8 243 83 4 3
9 1 12 1 0
10 241 54 2 1
11 232 217 4 2
12 4 8 4 1
13 180 223 3 2
14 182 317 4 5
15 248 1195 0 15
16 244 414 2 7
17 208 158 2 2
18 208 27 0 0
19 209 203 2 2
20 242 36 3 2
21 242 124 1 2
22 137 86 1 2
23 240 235 3 5
24 4 10 4 0
25 244 90 4 1
26 187 492 1 8
27 186 102 2 2
28 245 73 3 1
29 246 144 4 2
30 243 91 2 0
31 7 6 7 0
32 244 112 3 0
33 148 116 1 2
34 245 101 4 2
35 0 11 0 0
36 145 84 1 2
37 246 374 2 5
38 230 169 7 0
39 246 204 2 2
40 1 4 1 1
41 244 263 2 3
42 245 383 2 5
43 238 242 3 1
44 247 137 5 1
45 239 357 3 5
46 241 163 1 4
47 2 0 2 0
48 1 5 1 1
49 2 0 2 0
50 244 319 1 5
51 239 436 3 5
52 239 299 2 6
53 238 190 0 2
54 240 203 3 0
55 244 187 6 5
56 237 119 3 2
57 243 292 2 4
58 226 64 2 0
59 241 166 0 2
60 238 1080 2 10
61 1 5 1 0
62 244 142 3 2
63 247 153 2 3
64 1 3 1 0
65 195 126 1 0
66 246 123 3 3
67 190 83 1 2
68 1 1 1 0
69 241 111 8 3
70 204 143 1 3
71 239 207 5 1
72 231 335 3 1
73 2 4 2 0
74 203 114 2 0
75 239 218 1 3
76 244 108 0 1
77 246 202 3 1
78 230 154 1 4
79 243 235 1 2
80 245 170 1 1
81 3 0 3 0
82 4 6 4 0
83 0 42 0 0
84 245 733 2 11
85 246 154 1 1
86 144 145 2 1
87 178 182 1 7
88 248 263 2 2
89 237 295 2 3
90 242 207 2 1
91 131 46 4 0
92 244 243 5 5
93 2 3 2 0
94 139 222 1 3
95 117 79 0 1
96 3 14 3 0
97 71 59 0 1
