Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 244 323 2 4
1 223 89 2 0
2 236 407 4 4
3 246 358 3 6
4 1 31 1 0
5 235 404 3 4
6 232 35 2 0
7 240 73 3 0
8 4 2 4 0
9 1 12 1 0
10 240 93 2 0
11 222 190 4 3
12 3 7 3 1
13 180 294 3 1
14 182 330 4 4
15 244 749 0 17
16 242 434 2 4
17 1 6 1 1
18 54 17 0 0
19 42 28 1 1
20 240 25 3 1
21 240 177 1 2
22 135 82 1 1
23 3 26 3 0
24 239 356 4 4
25 241 139 4 2
26 185 276 1 9
27 2 3 2 0
28 3 9 3 0
29 246 200 4 1
30 240 128 2 2
31 239 131 7 0
32 244 164 3 0
33 146 94 1 1
34 240 172 4 1
35 238 197 0 4
36 143 107 1 2
37 241 368 2 8
38 206 234 6 3
39 241 279 2 5
40 1 5 1 1
41 244 214 2 3
42 2 18 2 0
43 3 34 3 0
44 247 171 5 0
45 236 292 3 5
46 240 187 0 1
47 248 414 2 6
48 241 337 0 6
49 248 126 2 1
50 244 407 1 2
51 3 40 3 0
52 236 312 2 4
53 236 180 0 2
54 3 5 3 0
55 6 7 6 1
56 233 104 3 2
57 242 295 2 4
58 213 117 2 0
59 240 200 0 1
60 2 37 2 1
61 179 66 1 2
62 243 101 3 1
63 247 218 2 7
64 1 3 1 0
65 193 137 1 0
66 243 115 3 1
67 188 287 1 1
68 189 72 1 1
69 8 8 8 0
70 194 177 1 4
71 211 161 5 3
72 224 401 3 4
73 246 320 2 3
74 195 110 2 0
75 234 248 1 3
76 0 0 0 0
77 246 204 3 1
78 197 210 1 3
79 241 257 1 2
80 240 195 1 0
81 246 159 3 3
82 225 142 4 1
83 0 74 0 0
84 245 543 2 9
85 246 220 1 3
86 142 138 2 2
87 178 221 1 5
88 243 278 2 4
89 236 294 2 3
90 230 181 2 5
91 129 105 4 1
92 243 198 5 3
93 121 43 2 0
94 135 178 1 4
95 109 79 0 1
96 198 124 3 1
97 67 46 0 1
