Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 14 2 1
1 2 13 2 1
2 4 29 4 2
3 2 9 2 0
4 1 29 1 1
5 2 25 2 1
6 2 2 2 0
7 3 11 3 1
8 4 3 4 0
9 1 18 1 0
10 2 11 2 0
11 4 3 4 0
12 2 4 2 1
13 3 16 3 0
14 3 14 3 0
15 0 0 0 0
16 2 0 2 0
17 18 10 2 1
18 0 6 0 0
19 16 10 1 0
20 2 4 2 1
21 1 16 1 1
22 1 0 1 0
23 3 25 3 0
24 4 16 4 0
25 4 20 4 1
26 1 18 1 2
27 169 49 2 2
28 153 34 3 5
29 230 111 4 7
30 2 18 2 2
31 221 139 7 4
32 3 18 3 1
33 1 4 1 0
34 4 6 4 0
35 0 28 0 0
36 1 16 1 0
37 2 15 2 1
38 5 15 5 2
39 2 11 2 0
40 229 143 1 10
41 2 26 2 0
42 2 17 2 1
43 220 284 3 19
44 4 1 4 0
45 3 31 3 1
46 214 155 1 11
47 2 0 2 0
48 0 19 0 1
49 2 0 2 0
50 1 32 1 0
51 200 183 3 16
52 204 156 1 18
53 217 165 0 7
54 3 9 3 0
55 5 9 5 1
56 3 4 3 1
57 1 0 1 0
58 2 1 2 0
59 0 25 0 0
60 2 18 2 1
61 131 37 1 6
62 0 0 0 0
63 0 0 0 0
64 1 5 1 0
65 1 9 1 1
66 3 9 3 0
67 1 8 1 0
68 1 8 1 0
69 8 12 8 0
70 1 14 1 1
71 5 4 5 0
72 3 34 3 1
73 2 8 2 0
74 2 14 2 0
75 1 25 1 1
76 0 0 0 0
77 3 26 3 1
78 1 0 1 0
79 226 189 1 10
80 1 1 1 0
81 3 0 3 0
82 3 12 3 0
83 176 306 0 19
84 2 1 2 0
85 1 4 1 1
86 2 11 2 1
87 154 178 1 11
88 2 0 2 0
89 207 157 2 7
90 2 2 2 0
91 3 18 3 0
92 229 219 5 6
93 2 17 2 0
94 114 130 1 6
95 90 34 0 4
96 3 10 3 1
97 0 12 0 1
