Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 323 211 4 3
1 302 371 6 7
2 9 152 9 1
3 329 393 7 5
4 365 483 9 6
5 359 834 11 30
6 400 443 7 10
7 6 27 6 0
8 285 104 3 0
9 311 93 6 3
10 371 52 7 6
11 333 85 6 3
12 317 258 12 12
13 450 516 12 26
14 12 99 12 0
15 394 542 7 20
16 364 140 6 5
17 7 235 7 4
18 424 329 5 6
19 404 355 8 7
20 479 414 7 13
21 471 417 13 6
22 450 170 8 10
23 67 20 2 2
24 12 105 12 1
25 68 96 2 3
26 466 220 10 7
27 446 245 10 2
28 10 106 10 3
29 368 124 8 1
30 34 11 0 0
31 468 306 14 8
32 440 513 7 18
33 472 1666 7 60
34 0 6 0 0
35 468 408 9 3
36 3 0 1 0
37 15 3 2 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 16 5 7 0
45 0 0 0 0
46 0 0 0 0
47 14 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 28 3 7 0
