Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 14 4 4
1 5 14 5 3
2 9 40 9 4
3 7 8 7 2
4 8 30 8 7
5 9 19 9 5
6 5 31 5 4
7 2 10 2 2
8 4 9 4 2
9 2 3 2 3
10 6 14 6 3
11 9 32 9 1
12 12 27 12 3
13 7 7 7 3
14 10 11 10 1
15 7 26 7 5
16 4 22 4 8
17 7 28 7 8
18 4 28 4 2
19 8 18 8 5
20 434 258 6 78
21 13 28 13 4
22 8 14 8 3
23 28 1 1 1
24 11 26 11 4
25 1 14 1 2
26 10 34 10 5
27 8 30 8 4
28 11 44 11 10
29 7 19 7 4
30 1 1 1 1
31 15 28 15 1
32 7 52 7 6
33 6 26 6 5
34 0 3 0 1
35 423 148 8 41
36 0 2 0 2
37 5 17 5 0
38 0 7 0 0
39 12 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 14 0 0 0
51 0 0 0 0
