Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 366 223 4 5
1 365 154 8 6
2 544 720 12 7
3 372 392 7 6
4 10 30 10 2
5 497 1680 12 39
6 510 320 7 12
7 518 74 9 3
8 375 48 4 1
9 366 129 7 2
10 503 90 8 3
11 512 263 12 11
12 551 849 13 8
13 552 1538 15 37
14 497 262 16 5
15 493 1847 8 32
16 8 30 8 0
17 543 2146 9 55
18 553 287 5 5
19 551 348 10 10
20 557 358 8 5
21 550 205 13 8
22 553 265 12 5
23 258 23 6 4
24 550 252 13 8
25 258 261 5 2
26 545 152 11 2
27 13 22 13 0
28 500 452 11 16
29 550 146 8 3
30 492 43 5 0
31 547 265 15 4
32 543 334 8 28
33 551 2579 8 66
34 52 21 2 1
35 547 268 9 4
36 239 14 11 1
37 491 39 11 0
38 7 0 3 0
39 14 0 8 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 372 5 10 0
45 0 0 0 0
46 0 0 0 0
47 250 5 6 0
48 6 0 0 0
49 7 0 7 0
50 10 4 10 0
51 9 9 9 0
