Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 361 286 4 9
1 8 20 8 0
2 541 947 13 20
3 7 16 7 0
4 486 205 10 9
5 13 103 13 1
6 502 463 7 17
7 7 26 7 1
8 367 105 4 2
9 361 120 7 7
10 495 224 7 13
11 504 478 12 13
12 546 1036 14 22
13 525 1870 15 61
14 489 359 15 13
15 8 73 8 2
16 514 209 8 7
17 9 145 9 6
18 550 423 5 7
19 10 29 10 1
20 554 361 8 8
21 547 399 13 10
22 11 19 11 0
23 257 25 3 4
24 547 402 14 6
25 261 281 5 5
26 542 573 11 11
27 12 31 12 0
28 492 432 11 15
29 9 30 9 1
30 480 34 4 0
31 544 229 15 5
32 8 89 8 2
33 548 2511 8 83
34 34 20 1 0
35 544 415 9 13
36 240 14 11 1
37 484 41 11 0
38 7 0 3 0
39 0 6 0 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 357 5 10 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 7 0 7 0
50 14 0 0 0
51 260 10 8 0
