Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 33 4 2
1 275 268 5 25
2 387 313 10 37
3 7 20 7 0
4 9 57 9 5
5 10 62 10 4
6 358 189 6 25
7 6 22 6 3
8 4 26 4 2
9 276 39 6 5
10 5 36 5 3
11 7 47 7 1
12 12 57 12 3
13 12 35 12 3
14 12 46 12 1
15 7 46 7 5
16 5 69 5 5
17 7 74 7 6
18 5 47 5 1
19 9 55 9 1
20 6 26 6 2
21 13 44 13 2
22 412 249 7 24
23 1 1 1 1
24 12 43 12 3
25 1 9 1 2
26 10 49 10 5
27 10 64 10 4
28 11 85 11 9
29 8 48 8 3
30 44 0 2 0
31 15 57 15 1
32 440 279 7 52
33 5 64 5 4
34 0 3 0 0
35 397 225 8 19
36 0 2 0 2
37 1 12 1 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 7 9 7 0
