Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 236 310 2 3
1 219 151 2 0
2 4 38 4 2
3 242 331 3 5
4 1 44 1 1
5 225 390 2 2
6 208 15 2 1
7 230 50 3 1
8 236 120 4 1
9 233 313 1 3
10 235 90 2 0
11 220 228 4 3
12 2 9 2 1
13 3 22 3 0
14 182 330 4 6
15 0 0 0 0
16 237 304 2 3
17 31 16 2 1
18 25 10 0 0
19 29 27 1 0
20 3 4 3 0
21 236 192 1 1
22 135 80 1 0
23 234 170 3 0
24 235 313 4 6
25 220 191 4 1
26 185 252 1 7
27 2 6 2 0
28 240 92 3 2
29 241 234 4 1
30 210 159 2 0
31 7 35 7 0
32 3 24 3 0
33 146 118 1 0
34 238 223 4 1
35 235 211 0 3
36 143 115 1 1
37 238 366 2 6
38 197 199 6 4
39 238 279 2 5
40 241 232 1 2
41 239 187 2 1
42 240 337 2 2
43 230 358 3 5
44 4 2 4 0
45 227 234 3 5
46 226 158 1 2
47 241 438 2 11
48 238 318 0 3
49 241 165 2 0
50 1 56 1 0
51 3 47 3 0
52 213 290 2 3
53 231 208 0 2
54 233 238 3 5
55 238 292 6 1
56 213 107 3 2
57 2 0 2 0
58 200 123 2 1
59 0 37 0 0
60 2 42 2 1
61 171 122 1 1
62 240 191 3 2
63 240 183 1 5
64 218 78 1 3
65 189 206 1 2
66 240 144 3 1
67 186 103 1 2
68 1 3 1 0
69 234 132 8 3
70 197 134 1 4
71 186 154 5 1
72 213 329 3 7
73 241 275 2 4
74 192 183 2 1
75 201 266 1 3
76 230 217 0 2
77 211 228 3 4
78 184 193 1 1
79 1 35 1 0
80 225 160 1 5
81 228 197 3 1
82 227 138 4 2
83 187 443 0 12
84 235 355 2 7
85 208 219 1 2
86 143 141 2 1
87 1 10 1 0
88 240 284 2 3
89 217 245 2 4
90 214 130 2 4
91 4 23 4 0
92 241 214 5 5
93 119 105 2 0
94 135 176 1 2
95 99 99 0 2
96 196 82 3 2
97 64 78 0 1
