Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 240 343 2 6
1 2 10 2 0
2 236 366 4 6
3 244 350 2 4
4 238 318 1 4
5 3 23 3 0
6 2 4 2 0
7 238 71 3 1
8 4 2 4 0
9 1 14 1 0
10 2 7 2 0
11 4 6 4 0
12 215 172 3 9
13 178 286 3 2
14 183 262 4 7
15 237 600 0 19
16 241 263 2 8
17 2 4 2 1
18 0 4 0 0
19 1 4 1 0
20 3 3 3 0
21 1 11 1 0
22 1 0 1 0
23 237 203 3 4
24 4 22 4 0
25 238 92 4 4
26 1 18 1 0
27 2 4 2 0
28 3 7 3 0
29 4 10 4 1
30 2 22 2 0
31 7 11 7 0
32 3 9 3 0
33 1 2 1 0
34 235 93 4 6
35 233 120 0 4
36 1 13 1 0
37 2 9 2 0
38 197 221 6 6
39 2 8 2 0
40 245 211 1 6
41 2 22 2 0
42 2 33 2 0
43 236 367 3 11
44 5 2 5 0
45 237 252 3 3
46 1 6 1 0
47 2 0 2 0
48 0 9 0 1
49 246 224 2 3
50 1 18 1 0
51 3 24 3 0
52 235 229 2 8
53 0 15 0 0
54 232 158 3 3
55 243 267 6 5
56 3 2 3 1
57 2 0 2 0
58 2 3 2 0
59 0 22 0 0
60 2 10 2 0
61 1 3 1 0
62 3 0 3 0
63 243 149 2 6
64 237 54 1 3
65 1 3 1 0
66 3 6 3 0
67 188 257 1 2
68 189 63 1 0
69 8 7 8 0
70 187 85 1 6
71 208 138 5 5
72 3 15 3 0
73 242 284 2 9
74 2 4 2 0
75 1 17 1 1
76 0 0 0 0
77 215 116 3 4
78 1 0 1 0
79 1 15 1 0
80 1 1 1 0
81 244 134 3 6
82 224 69 3 3
83 188 380 0 15
84 241 276 2 10
85 238 189 1 4
86 142 107 2 2
87 176 221 1 7
88 2 0 2 0
89 2 17 2 0
90 211 113 2 2
91 4 6 4 0
92 5 3 5 0
93 120 65 2 0
94 1 3 1 0
95 113 118 0 0
96 3 8 3 0
97 0 8 0 0
