Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 61 4 0
1 6 50 6 0
2 437 425 9 11
3 330 236 7 4
4 369 442 10 9
5 390 711 11 34
6 413 428 6 15
7 157 14 6 1
8 206 74 4 2
9 303 95 6 1
10 284 238 7 7
11 346 65 6 3
12 12 99 12 2
13 441 536 10 15
14 376 406 12 7
15 390 550 8 19
16 421 173 5 6
17 435 838 6 40
18 424 276 4 5
19 9 82 9 0
20 7 43 7 0
21 13 85 13 1
22 442 229 10 10
23 99 15 2 1
24 466 286 12 3
25 101 115 3 3
26 460 251 10 8
27 445 225 8 1
28 348 143 10 14
29 426 205 7 4
30 18 14 0 0
31 462 416 14 3
32 7 172 7 0
33 466 1630 7 58
34 16 11 0 0
35 462 404 8 4
36 3 0 2 0
37 13 6 5 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 8 5 6 0
45 0 0 0 0
46 0 0 0 0
47 14 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 28 3 6 0
