Number of messages: 10
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 0 3 0 0
1 6 0 0 0
2 7 5 0 1
3 3 0 0 0
4 6 4 1 0
5 0 0 0 0
6 0 0 0 0
7 6 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 7 9 0 0
13 7 7 0 0
14 1 0 0 0
15 7 31 0 2
16 7 6 0 0
17 0 0 0 0
18 0 0 0 0
19 0 0 0 0
20 7 12 0 0
21 7 5 0 0
22 7 4 0 0
23 6 0 1 0
24 7 6 0 0
25 0 0 0 0
26 7 0 0 0
27 7 12 0 0
28 3 0 0 0
29 3 0 0 0
30 7 8 0 0
31 7 1 0 0
32 7 0 0 0
33 3 0 0 0
34 7 0 0 0
35 0 0 0 0
36 7 2 0 0
37 6 1 0 0
38 0 0 0 0
39 7 0 1 0
40 3 0 0 0
41 7 0 1 0
42 7 2 0 0
43 0 0 0 0
44 0 0 0 0
45 5 2 0 0
46 7 12 0 0
47 7 0 0 0
48 1 0 0 0
49 0 0 0 0
50 7 3 0 0
51 7 2 0 0
52 7 3 1 0
53 0 0 0 0
54 2 0 0 0
55 0 0 0 0
56 0 0 0 0
57 0 0 0 0
58 7 1 0 0
59 7 1 0 0
60 0 0 0 0
61 6 12 0 0
62 7 1 0 0
63 7 12 0 0
64 0 0 0 0
65 7 0 0 0
66 7 17 0 0
67 7 8 0 0
68 7 17 0 0
69 0 0 0 0
70 7 10 0 0
71 7 5 0 0
72 7 7 0 0
73 0 0 0 0
74 7 14 0 0
75 3 0 0 0
76 7 0 0 0
77 1 0 0 0
78 7 6 0 0
79 5 15 0 0
80 0 0 0 0
81 3 0 0 0
82 7 26 0 0
83 7 0 0 0
84 7 13 0 0
85 7 17 0 0
86 7 21 0 0
87 7 1 0 0
88 7 15 0 1
89 6 16 0 0
90 7 6 0 0
91 0 0 0 0
92 7 15 0 0
93 6 1 0 0
94 7 12 0 0
95 6 10 0 0
96 7 19 0 1
97 7 2 0 0
