Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 328 172 4 3
1 331 231 7 0
2 484 796 10 14
3 334 304 7 5
4 444 202 10 2
5 447 1436 11 36
6 443 392 7 15
7 440 25 7 2
8 337 40 4 1
9 332 163 6 2
10 453 205 7 7
11 453 177 8 13
12 487 400 12 7
13 493 1165 14 35
14 447 333 14 3
15 7 71 7 2
16 482 142 6 4
17 484 1819 7 47
18 494 305 5 9
19 492 397 9 6
20 498 531 7 10
21 491 364 13 12
22 493 251 9 7
23 208 17 3 1
24 491 208 12 1
25 211 227 4 5
26 10 52 10 1
27 489 265 10 7
28 455 211 11 10
29 8 27 8 1
30 205 7 4 0
31 488 331 15 5
32 484 262 8 4
33 492 2148 7 52
34 43 16 2 0
35 488 304 9 5
36 20 0 10 0
37 70 17 9 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 98 5 9 0
45 0 0 0 0
46 0 0 0 0
47 67 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 7 10 7 0
