Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 340 173 4 2
1 8 15 8 0
2 487 716 11 12
3 346 360 7 11
4 449 180 10 2
5 452 1252 11 38
6 456 415 7 14
7 441 30 7 2
8 328 27 4 0
9 344 166 6 2
10 458 158 7 6
11 458 143 9 11
12 492 447 13 6
13 495 1112 12 34
14 452 365 14 3
15 453 1216 7 24
16 484 130 6 2
17 486 1870 8 45
18 497 233 5 5
19 494 378 9 8
20 501 246 7 7
21 494 235 13 8
22 496 274 10 9
23 209 17 3 1
24 494 192 12 2
25 212 228 4 4
26 489 222 10 1
27 492 216 10 1
28 460 257 11 9
29 494 279 8 4
30 198 7 4 0
31 491 259 15 4
32 8 43 8 0
33 495 2496 7 54
34 42 12 2 0
35 491 242 9 4
36 7 7 7 0
37 70 17 9 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 10 5 10 0
45 0 0 0 0
46 0 0 0 0
47 67 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 6 6 6 0
