Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 236 317 2 9
1 2 8 2 0
2 4 21 4 2
3 239 452 2 11
4 234 332 1 4
5 203 131 2 8
6 186 10 2 0
7 3 7 3 0
8 4 3 4 0
9 209 126 1 5
10 2 7 2 0
11 4 6 4 0
12 2 3 2 1
13 3 9 3 0
14 175 323 4 8
15 0 0 0 0
16 2 0 2 0
17 1 3 1 1
18 0 2 0 0
19 1 2 1 0
20 190 9 2 1
21 234 186 1 6
22 1 0 1 0
23 3 24 3 0
24 233 283 4 6
25 4 15 4 1
26 178 210 1 14
27 2 4 2 0
28 3 10 3 0
29 4 8 4 1
30 2 19 2 0
31 7 19 7 0
32 3 13 3 0
33 138 69 1 7
34 219 127 4 5
35 0 21 0 0
36 1 15 1 0
37 2 11 2 1
38 5 10 5 1
39 2 9 2 0
40 238 101 1 6
41 237 214 1 3
42 2 15 2 0
43 3 28 3 1
44 240 120 5 4
45 3 20 3 0
46 0 4 0 0
47 2 0 2 0
48 0 10 0 1
49 2 0 2 0
50 1 20 1 0
51 231 320 3 10
52 2 26 2 0
53 230 167 0 6
54 229 176 3 2
55 5 3 5 0
56 3 3 3 1
57 2 0 2 0
58 2 6 2 0
59 0 23 0 0
60 215 425 2 20
61 158 39 1 7
62 3 0 3 0
63 2 1 2 0
64 1 8 1 0
65 1 4 1 0
66 3 2 3 0
67 1 4 1 0
68 1 7 1 0
69 8 8 8 0
70 1 11 1 1
71 5 3 5 0
72 3 22 3 1
73 219 292 2 6
74 2 12 2 0
75 230 164 1 7
76 0 0 0 0
77 212 206 3 8
78 187 135 1 8
79 235 225 1 8
80 1 1 1 0
81 239 155 3 8
82 4 12 4 0
83 0 56 0 1
84 2 4 2 0
85 1 2 1 0
86 134 88 2 1
87 167 253 1 5
88 2 0 2 0
89 2 22 2 0
90 2 5 2 0
91 4 14 4 0
92 238 157 5 3
93 2 22 2 0
94 1 8 1 0
95 0 0 0 0
96 3 11 3 1
97 0 4 0 0
