Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 14 2 1
1 2 9 2 0
2 240 415 4 6
3 244 470 3 7
4 240 376 1 3
5 3 22 3 1
6 2 4 2 0
7 241 56 3 0
8 241 114 4 3
9 238 422 1 5
10 241 124 2 0
11 4 15 4 0
12 231 371 4 8
13 179 190 3 2
14 4 13 4 0
15 0 0 0 0
16 243 384 2 4
17 2 4 2 1
18 137 5 0 0
19 1 6 1 0
20 241 20 3 0
21 241 146 1 0
22 135 62 1 0
23 239 184 3 2
24 4 16 4 0
25 242 128 4 2
26 185 310 1 8
27 2 4 2 0
28 243 59 3 1
29 244 162 4 1
30 241 138 2 1
31 7 12 7 0
32 244 129 3 1
33 145 52 1 1
34 243 214 4 5
35 238 174 0 5
36 1 17 1 0
37 2 10 2 0
38 193 197 6 3
39 241 277 2 1
40 245 142 1 5
41 2 17 2 0
42 245 297 2 11
43 237 360 3 2
44 245 88 5 1
45 3 16 3 0
46 240 197 1 4
47 248 416 2 5
48 241 288 0 7
49 246 146 2 0
50 244 366 1 3
51 3 31 3 0
52 238 270 2 2
53 236 237 0 1
54 238 242 3 1
55 5 7 5 0
56 231 127 3 3
57 242 370 2 1
58 2 6 2 0
59 0 25 0 0
60 230 530 2 7
61 182 60 1 0
62 243 154 3 3
63 2 1 2 0
64 240 79 1 2
65 192 142 1 1
66 244 83 3 1
67 188 277 1 1
68 189 83 1 0
69 241 101 8 1
70 188 136 1 4
71 5 4 5 0
72 219 357 3 4
73 244 360 2 5
74 195 154 2 0
75 236 254 1 7
76 0 0 0 0
77 243 224 3 3
78 193 176 1 3
79 1 25 1 0
80 1 2 1 0
81 246 203 3 5
82 237 194 4 3
83 188 584 0 18
84 244 622 2 11
85 1 3 1 1
86 142 106 2 1
87 177 182 1 1
88 247 250 2 4
89 236 253 2 3
90 233 166 2 5
91 130 88 4 0
92 5 3 5 0
93 2 23 2 0
94 135 172 1 5
95 0 0 0 0
96 230 124 3 2
97 67 65 0 1
