Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 242 384 2 10
1 2 6 2 0
2 4 23 4 2
3 2 7 2 0
4 240 293 1 3
5 3 23 3 1
6 2 4 2 0
7 240 87 3 1
8 236 26 4 3
9 1 12 1 0
10 241 39 2 1
11 4 12 4 0
12 239 378 3 10
13 179 144 3 2
14 182 308 4 5
15 0 0 0 0
16 2 0 2 0
17 198 25 2 2
18 0 5 0 0
19 1 6 1 0
20 241 34 3 1
21 1 8 1 0
22 135 113 1 1
23 3 10 3 0
24 4 13 4 0
25 4 17 4 1
26 184 386 1 12
27 2 7 2 0
28 3 5 3 0
29 244 180 4 6
30 2 19 2 0
31 7 6 7 0
32 3 10 3 0
33 1 1 1 0
34 242 237 4 9
35 238 304 0 7
36 1 6 1 0
37 2 7 2 0
38 199 201 6 2
39 2 3 2 0
40 244 237 1 6
41 244 146 2 1
42 2 18 2 0
43 3 21 3 0
44 247 169 4 1
45 235 191 3 7
46 1 3 1 0
47 248 447 2 12
48 0 7 0 1
49 2 0 2 0
50 244 298 1 8
51 3 14 3 0
52 2 22 2 0
53 0 18 0 0
54 238 284 3 2
55 6 5 6 0
56 3 2 3 1
57 2 0 2 0
58 2 3 2 0
59 0 10 0 0
60 2 21 2 1
61 1 6 1 0
62 243 103 3 2
63 247 238 2 6
64 240 89 1 5
65 1 3 1 0
66 3 3 3 0
67 189 157 1 1
68 1 1 1 0
69 239 136 8 3
70 186 112 1 7
71 5 2 5 0
72 220 302 3 5
73 2 3 2 0
74 2 4 2 0
75 1 7 1 1
76 0 0 0 0
77 3 3 3 0
78 203 141 1 6
79 1 16 1 0
80 244 173 1 5
81 3 0 3 0
82 4 4 4 0
83 186 812 0 17
84 245 494 2 18
85 1 4 1 1
86 139 78 2 2
87 1 1 1 0
88 245 279 2 9
89 2 16 2 0
90 241 133 2 6
91 129 78 4 0
92 5 2 5 0
93 2 9 2 0
94 135 151 1 3
95 0 0 0 0
96 244 51 3 2
97 0 1 0 0
