Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 15 4 1
1 4 13 4 0
2 9 19 9 3
3 259 69 7 23
4 8 24 8 3
5 10 19 10 3
6 5 24 5 6
7 2 3 2 3
8 4 9 4 1
9 6 8 6 2
10 6 19 6 4
11 7 22 7 4
12 12 17 12 3
13 10 17 10 3
14 12 22 12 1
15 4 8 4 8
16 5 27 5 4
17 360 229 4 92
18 2 19 2 2
19 8 24 8 4
20 6 12 6 3
21 11 10 11 3
22 8 11 8 0
23 31 1 1 1
24 11 14 11 5
25 3 21 3 2
26 6 13 6 8
27 7 14 7 7
28 11 30 11 10
29 6 24 6 4
30 1 14 1 0
31 13 20 13 5
32 6 33 6 7
33 6 16 6 3
34 7 6 0 0
35 7 18 7 8
36 0 2 0 2
37 3 4 3 2
38 0 7 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 5 8 5 0
