Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 18 2 1
1 2 13 2 0
2 230 285 4 7
3 2 16 2 0
4 1 33 1 0
5 222 210 3 6
6 209 15 2 0
7 229 34 3 0
8 4 5 4 0
9 1 23 1 0
10 2 10 2 0
11 207 103 4 1
12 203 318 3 8
13 3 21 3 0
14 180 271 4 1
15 226 428 0 25
16 2 0 2 0
17 105 43 2 1
18 0 8 0 0
19 108 68 1 1
20 130 35 2 1
21 211 127 1 4
22 1 0 1 0
23 234 281 3 9
24 3 28 3 0
25 4 24 4 1
26 182 210 1 11
27 2 8 2 0
28 206 57 3 4
29 235 195 4 0
30 196 83 2 1
31 7 23 7 0
32 3 25 3 0
33 142 54 1 1
34 4 13 4 0
35 0 46 0 0
36 1 35 1 0
37 230 291 2 9
38 195 157 6 2
39 2 20 2 0
40 1 11 1 1
41 2 41 2 0
42 233 410 2 5
43 3 59 3 0
44 4 2 4 0
45 218 223 3 4
46 1 8 1 0
47 2 0 2 0
48 230 377 0 10
49 234 131 2 2
50 1 43 1 0
51 217 322 3 6
52 2 48 2 1
53 0 29 0 0
54 231 186 3 3
55 225 334 6 4
56 213 77 3 3
57 235 279 1 4
58 2 4 2 0
59 0 41 0 0
60 218 268 2 8
61 154 94 1 2
62 3 0 3 0
63 218 187 1 4
64 1 5 1 0
65 1 6 1 0
66 231 95 3 2
67 1 9 1 0
68 161 22 1 0
69 231 121 8 1
70 1 10 1 1
71 5 2 5 0
72 198 300 3 5
73 228 327 2 8
74 2 19 2 0
75 202 253 1 7
76 209 254 0 6
77 3 29 3 0
78 1 0 1 0
79 1 23 1 0
80 213 156 1 2
81 2 0 2 0
82 186 81 3 2
83 0 66 0 0
84 2 3 2 0
85 1 4 1 0
86 138 87 2 2
87 165 248 1 4
88 231 325 2 7
89 2 33 2 0
90 212 122 2 5
91 123 34 4 0
92 5 8 5 0
93 114 52 2 0
94 133 136 1 6
95 0 0 0 0
96 147 68 3 2
97 0 17 0 1
