Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 346 106 4 7
1 8 12 8 0
2 12 70 12 1
3 352 392 7 4
4 10 33 10 2
5 464 1263 12 65
6 464 445 6 31
7 232 27 9 0
8 353 110 4 2
9 8 7 8 0
10 7 30 7 3
11 9 24 9 1
12 14 39 14 0
13 524 1202 14 48
14 464 364 15 11
15 8 61 8 5
16 5 32 5 1
17 8 95 8 5
18 525 285 4 13
19 9 33 9 1
20 529 319 7 20
21 522 599 13 25
22 12 16 12 1
23 1 1 1 1
24 522 247 13 17
25 4 11 4 1
26 11 77 11 6
27 12 46 12 1
28 477 325 11 28
29 8 22 8 3
30 2 24 2 0
31 15 54 15 2
32 515 521 8 54
33 7 74 7 4
34 0 1 0 0
35 8 43 8 3
36 2 8 2 0
37 11 36 11 0
38 0 0 0 0
39 7 6 7 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 331 5 10 0
45 0 0 0 0
46 0 0 0 0
47 231 5 6 0
48 0 0 0 0
49 7 0 7 0
50 14 0 10 0
51 8 8 8 0
