Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 19 4 0
1 7 7 7 0
2 10 49 10 1
3 330 155 7 3
4 444 99 10 3
5 447 660 10 42
6 6 34 6 0
7 8 25 8 0
8 4 9 4 0
9 7 7 7 0
10 453 204 7 8
11 9 60 9 0
12 12 57 12 0
13 496 786 13 37
14 447 496 14 12
15 446 1435 7 56
16 485 83 5 3
17 488 1274 8 59
18 5 20 5 1
19 495 310 9 16
20 7 12 7 0
21 13 28 13 2
22 11 26 11 0
23 1 8 1 1
24 494 422 12 11
25 3 8 3 1
26 11 45 11 4
27 491 256 10 15
28 450 410 11 19
29 8 20 8 3
30 105 6 2 2
31 491 232 15 13
32 8 72 8 1
33 7 66 7 3
34 12 5 0 0
35 491 139 9 13
36 135 2 3 2
37 9 35 9 0
38 7 0 0 0
39 14 0 1 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 9 5 9 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 6 0 0 0
49 7 0 7 0
50 14 0 0 0
51 193 10 7 1
