Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 236 262 2 7
1 2 12 2 0
2 4 28 4 2
3 2 11 2 0
4 1 22 1 1
5 231 347 3 5
6 2 4 2 0
7 228 68 3 2
8 234 75 4 3
9 1 23 1 0
10 234 75 2 1
11 222 149 4 3
12 204 359 3 7
13 177 203 3 1
14 182 304 4 9
15 0 0 0 0
16 239 337 2 7
17 2 5 2 1
18 0 6 0 0
19 167 6 1 0
20 234 25 3 2
21 1 16 1 0
22 1 0 1 0
23 234 235 3 6
24 4 15 4 0
25 4 18 4 1
26 1 15 1 1
27 183 60 2 0
28 237 54 3 1
29 4 10 4 0
30 2 26 2 0
31 236 221 7 2
32 241 173 3 2
33 143 46 1 1
34 232 88 4 4
35 0 29 0 0
36 1 22 1 0
37 2 9 2 0
38 202 190 6 5
39 2 12 2 0
40 242 175 1 4
41 2 24 2 0
42 2 26 2 0
43 3 37 3 0
44 5 2 5 0
45 3 23 3 0
46 1 5 1 0
47 245 470 2 13
48 230 283 0 13
49 240 213 2 8
50 1 31 1 0
51 217 389 3 8
52 1 37 1 0
53 0 32 0 0
54 3 9 3 0
55 5 6 5 1
56 221 99 3 4
57 1 0 1 0
58 2 1 2 0
59 0 23 0 0
60 2 25 2 1
61 172 122 1 2
62 3 0 3 0
63 2 1 2 0
64 1 8 1 0
65 1 5 1 1
66 3 5 3 0
67 185 182 1 2
68 1 6 1 0
69 8 8 8 0
70 1 18 1 1
71 5 5 5 0
72 3 28 3 1
73 2 13 2 1
74 188 284 2 4
75 231 231 1 6
76 239 211 0 8
77 220 230 3 8
78 192 204 1 8
79 238 274 1 5
80 1 3 1 0
81 3 0 3 0
82 222 135 4 5
83 0 59 0 0
84 2 3 2 0
85 227 251 1 14
86 137 110 2 2
87 1 4 1 0
88 241 319 2 12
89 2 26 2 0
90 2 2 2 0
91 4 16 4 0
92 242 272 5 7
93 2 14 2 0
94 1 6 1 0
95 0 0 0 0
96 3 8 3 1
97 64 74 0 2
