Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 52 4 2
1 7 19 7 2
2 11 54 11 0
3 7 14 7 0
4 10 46 10 4
5 13 77 13 1
6 465 299 7 12
7 489 152 8 4
8 4 21 4 2
9 347 155 7 4
10 7 15 7 1
11 12 38 12 0
12 502 680 13 23
13 15 45 15 2
14 461 709 14 22
15 461 1263 8 36
16 8 48 8 1
17 8 88 8 6
18 5 42 5 1
19 9 33 9 1
20 7 13 7 0
21 13 33 13 2
22 523 190 9 21
23 3 20 3 1
24 522 445 14 13
25 165 32 2 5
26 517 298 11 6
27 519 168 11 6
28 486 475 11 24
29 9 29 9 1
30 463 45 4 0
31 520 474 15 10
32 514 392 7 53
33 523 1717 6 81
34 0 3 0 0
35 9 38 9 1
36 135 2 2 2
37 475 49 10 1
38 7 0 0 0
39 7 6 7 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 7 0 7 0
50 9 5 9 0
51 8 8 8 0
