Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 19 2 1
1 2 6 2 0
2 4 32 4 2
3 243 510 2 4
4 238 265 1 5
5 235 257 3 2
6 220 41 2 1
7 3 11 3 0
8 241 113 4 2
9 238 429 1 6
10 240 104 2 1
11 4 9 4 0
12 220 557 3 6
13 176 186 3 5
14 4 14 4 0
15 0 0 0 0
16 242 345 2 8
17 196 66 2 1
18 134 12 0 0
19 196 131 1 1
20 240 19 3 0
21 240 125 1 4
22 1 0 1 0
23 237 246 3 2
24 4 18 4 0
25 4 17 4 1
26 1 18 1 0
27 184 82 2 0
28 3 9 3 0
29 4 10 4 1
30 2 31 2 0
31 239 183 7 3
32 243 115 3 0
33 144 97 1 0
34 242 108 4 2
35 237 265 0 5
36 141 109 1 2
37 240 374 2 7
38 6 8 6 0
39 240 226 2 1
40 244 159 1 5
41 2 18 2 0
42 244 359 2 8
43 3 35 3 0
44 244 154 5 3
45 3 15 3 0
46 1 3 1 0
47 2 0 2 0
48 0 10 0 1
49 2 0 2 0
50 1 31 1 0
51 233 328 3 7
52 231 263 2 5
53 0 26 0 0
54 237 231 3 1
55 5 7 5 0
56 3 2 3 1
57 240 317 2 5
58 206 68 2 1
59 241 290 0 4
60 2 26 2 0
61 178 81 1 4
62 3 0 3 0
63 2 1 2 0
64 239 88 1 0
65 1 4 1 0
66 3 8 3 0
67 187 280 1 2
68 188 102 1 1
69 238 138 8 4
70 186 107 1 3
71 204 166 5 4
72 218 355 3 6
73 242 351 2 9
74 198 181 2 0
75 232 229 1 9
76 0 0 0 0
77 238 222 3 5
78 196 153 1 6
79 1 17 1 0
80 244 247 1 5
81 245 223 3 3
82 236 167 4 4
83 186 555 0 15
84 243 434 2 10
85 1 2 1 0
86 141 128 2 0
87 174 239 1 1
88 246 273 2 6
89 2 20 2 0
90 2 2 2 0
91 4 14 4 0
92 5 2 5 0
93 120 42 2 0
94 135 159 1 2
95 112 116 0 2
96 220 79 3 2
97 0 10 0 1
