Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 22 2 1
1 2 14 2 0
2 4 35 4 2
3 2 18 2 0
4 240 247 1 6
5 232 313 3 5
6 199 38 2 2
7 3 11 3 0
8 239 104 4 2
9 236 400 1 11
10 2 11 2 0
11 4 6 4 0
12 215 536 3 6
13 3 12 3 0
14 4 18 4 0
15 0 0 0 0
16 2 0 2 0
17 195 70 2 1
18 128 11 0 0
19 195 134 1 0
20 239 12 3 0
21 1 20 1 0
22 1 0 1 0
23 3 35 3 0
24 4 17 4 0
25 238 175 4 6
26 1 21 1 0
27 184 38 2 0
28 243 68 3 1
29 4 10 4 1
30 2 27 2 0
31 237 191 7 2
32 3 18 3 0
33 1 3 1 0
34 242 138 4 4
35 240 258 0 7
36 140 104 1 2
37 2 12 2 0
38 6 17 6 1
39 2 12 2 0
40 245 175 1 4
41 2 23 2 0
42 2 30 2 1
43 3 46 3 0
44 242 141 4 3
45 229 218 3 9
46 1 6 1 0
47 2 0 2 0
48 0 22 0 1
49 244 152 2 6
50 1 42 1 0
51 225 348 3 10
52 2 36 2 0
53 234 298 0 8
54 233 224 3 8
55 6 6 6 0
56 3 6 3 1
57 235 403 2 14
58 202 114 2 4
59 0 31 0 0
60 2 29 2 1
61 172 63 1 6
62 3 0 3 0
63 2 0 2 0
64 240 89 1 1
65 1 6 1 1
66 3 8 3 0
67 1 9 1 0
68 187 79 1 0
69 8 10 8 0
70 181 148 1 5
71 5 5 5 0
72 3 34 3 1
73 229 323 2 9
74 188 215 2 4
75 203 283 1 8
76 0 0 0 0
77 3 16 3 0
78 188 147 1 7
79 241 334 1 6
80 1 3 1 0
81 239 280 3 3
82 3 9 3 0
83 0 66 0 0
84 242 276 2 10
85 1 4 1 0
86 2 10 2 0
87 1 6 1 0
88 245 355 2 8
89 233 257 2 9
90 2 1 2 0
91 4 19 4 0
92 5 3 5 0
93 2 20 2 0
94 134 163 1 8
95 0 0 0 0
96 3 11 3 0
97 0 10 0 1
