Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 24 4 0
1 347 179 7 7
2 9 50 9 0
3 350 236 7 7
4 10 34 10 2
5 478 1171 12 34
6 474 336 7 11
7 473 125 8 2
8 4 8 4 0
9 348 115 7 3
10 484 94 8 6
11 10 53 10 0
12 516 493 12 8
13 520 1345 15 38
14 478 277 15 5
15 477 1177 8 30
16 509 114 8 4
17 511 1718 8 57
18 521 275 5 10
19 519 422 9 12
20 8 11 8 0
21 518 272 13 8
22 11 20 11 0
23 206 34 6 5
24 518 289 12 9
25 205 206 3 3
26 11 30 11 1
27 516 185 12 4
28 481 447 11 17
29 518 146 8 6
30 4 30 4 0
31 515 397 15 5
32 8 75 8 1
33 519 2015 8 59
34 0 5 0 0
35 515 373 9 5
36 140 2 3 2
37 471 41 10 0
38 7 0 4 0
39 14 0 1 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 359 5 10 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 6 0 0 0
49 7 0 7 0
50 14 0 0 0
51 215 2 8 0
