Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 375 225 4 5
1 9 13 9 0
2 549 550 13 22
3 381 482 7 10
4 497 272 10 7
5 501 1646 13 47
6 510 321 7 9
7 9 20 9 0
8 379 110 4 1
9 8 7 8 0
10 506 122 8 7
11 515 345 12 13
12 556 949 14 11
13 557 1630 15 51
14 16 24 16 0
15 496 1611 8 36
16 546 130 8 3
17 9 152 9 4
18 5 23 5 0
19 556 323 10 12
20 562 272 8 8
21 13 30 13 2
22 558 345 12 6
23 272 28 3 1
24 555 167 14 8
25 276 281 5 3
26 550 154 11 4
27 553 149 13 4
28 509 294 11 17
29 555 151 9 3
30 495 41 5 0
31 15 26 15 0
32 549 494 8 32
33 556 2365 8 78
34 34 17 1 0
35 9 32 9 2
36 11 14 11 0
37 11 28 11 0
38 0 7 0 0
39 8 6 7 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 11 5 11 0
45 0 0 0 0
46 0 0 0 0
47 259 5 6 0
48 6 0 0 0
49 7 0 7 0
50 10 4 10 0
51 523 12 9 0
