Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 335 71 4 11
1 8 17 8 1
2 12 48 12 0
3 7 14 7 0
4 10 46 10 4
5 11 55 11 2
6 6 28 6 0
7 4 9 4 1
8 4 17 4 1
9 7 10 7 2
10 6 17 6 1
11 9 19 9 0
12 502 488 14 40
13 14 43 14 1
14 14 34 14 0
15 438 466 8 27
16 502 257 5 20
17 8 84 8 6
18 515 347 4 23
19 512 705 9 30
20 7 11 7 0
21 13 21 13 2
22 10 18 10 0
23 1 1 1 1
24 13 21 13 1
25 4 21 4 2
26 11 33 11 2
27 508 183 12 17
28 471 357 11 30
29 8 27 8 2
30 3 22 3 0
31 15 29 15 0
32 7 52 7 4
33 513 902 7 85
34 9 1 0 0
35 8 32 8 2
36 2 8 2 0
37 11 24 11 1
38 0 0 0 0
39 0 6 0 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 7 0 7 0
50 0 0 0 0
51 5 8 5 0
