Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 32 4 2
1 7 22 7 3
2 9 88 9 3
3 7 19 7 1
4 280 164 9 23
5 8 43 8 4
6 6 80 6 3
7 3 9 3 2
8 3 21 3 2
9 6 11 6 3
10 6 36 6 3
11 264 62 5 18
12 12 41 12 3
13 4 34 4 2
14 11 49 11 2
15 7 55 7 6
16 306 68 4 13
17 6 84 6 6
18 4 69 4 2
19 336 122 9 36
20 6 33 6 2
21 345 192 13 42
22 7 49 7 3
23 1 1 1 1
24 12 54 12 2
25 1 10 1 2
26 8 62 8 4
27 10 61 10 1
28 11 64 11 6
29 6 49 6 3
30 0 1 0 0
31 14 67 14 2
32 6 76 6 4
33 5 69 5 4
34 7 3 0 0
35 339 171 5 22
36 1 0 1 0
37 0 3 0 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 1 3 1 0
