Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 20 2 1
1 2 13 2 1
2 4 36 4 2
3 2 13 2 0
4 213 93 1 13
5 195 62 1 7
6 107 18 2 1
7 2 11 2 1
8 4 2 4 0
9 1 18 1 0
10 1 9 1 0
11 4 3 4 0
12 2 2 2 1
13 153 114 3 8
14 3 23 3 0
15 0 0 0 0
16 2 0 2 0
17 1 3 1 1
18 0 2 0 0
19 1 2 1 0
20 131 13 2 1
21 1 20 1 2
22 89 71 1 6
23 3 32 3 0
24 4 16 4 0
25 4 24 4 1
26 1 23 1 2
27 2 16 2 1
28 3 13 3 0
29 4 6 4 1
30 2 30 2 2
31 213 170 7 11
32 3 21 3 1
33 0 5 0 0
34 4 17 4 1
35 0 26 0 0
36 1 25 1 0
37 206 205 1 12
38 5 8 5 2
39 207 191 2 17
40 1 4 1 1
41 217 97 1 2
42 2 20 2 1
43 3 37 3 2
44 4 2 4 0
45 3 21 3 1
46 201 196 0 6
47 2 0 2 0
48 0 12 0 1
49 201 152 2 6
50 1 31 1 2
51 3 26 3 0
52 2 40 2 0
53 208 254 0 11
54 3 7 3 1
55 4 7 4 0
56 2 3 2 1
57 1 0 1 0
58 2 6 2 1
59 208 242 0 10
60 2 26 2 1
61 1 5 1 0
62 206 71 3 4
63 1 1 1 0
64 1 0 1 0
65 1 8 1 1
66 210 84 2 6
67 163 255 1 3
68 164 69 1 1
69 7 13 7 0
70 1 10 1 1
71 3 3 3 0
72 3 45 3 2
73 182 187 2 16
74 2 17 2 0
75 1 21 1 1
76 0 0 0 0
77 3 27 3 2
78 1 0 1 0
79 1 30 1 0
80 1 4 1 0
81 3 0 3 0
82 3 15 3 0
83 0 50 0 1
84 2 7 2 0
85 1 5 1 1
86 2 14 2 2
87 1 8 1 0
88 2 0 2 0
89 2 35 2 0
90 2 6 2 0
91 3 15 3 0
92 5 8 5 0
93 2 17 2 0
94 118 144 1 8
95 0 0 0 0
96 3 10 3 1
97 0 10 0 1
