Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 22 4 2
1 4 14 4 3
2 9 93 9 5
3 7 11 7 1
4 284 115 10 33
5 9 47 9 5
6 3 42 3 4
7 89 3 1 3
8 172 27 3 9
9 6 11 6 3
10 6 29 6 4
11 210 28 6 22
12 12 27 12 4
13 5 10 5 2
14 10 31 10 2
15 6 42 6 6
16 4 40 4 6
17 6 70 6 7
18 4 24 4 2
19 9 36 9 5
20 5 25 5 4
21 12 42 12 3
22 7 25 7 3
23 1 1 1 1
24 12 34 12 2
25 1 8 1 2
26 7 48 7 6
27 7 35 7 5
28 260 64 10 43
29 4 21 4 4
30 27 0 0 0
31 14 64 14 5
32 5 44 5 8
33 5 51 5 5
34 0 1 0 0
35 6 43 6 7
36 1 1 1 0
37 4 5 4 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 1 4 1 0
