Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 378 181 4 5
1 379 205 9 10
2 539 632 13 16
3 384 321 7 7
4 488 125 10 2
5 491 1453 13 43
6 7 33 7 0
7 8 20 8 0
8 386 35 4 0
9 377 162 8 4
10 497 108 8 4
11 507 158 12 11
12 14 53 14 0
13 547 1525 15 41
14 491 285 14 3
15 492 1438 8 33
16 536 119 7 3
17 538 2028 9 58
18 5 22 5 1
19 547 266 10 10
20 552 323 7 7
21 545 197 13 13
22 547 237 12 8
23 6 15 6 1
24 545 214 14 12
25 264 25 5 3
26 540 124 11 3
27 12 20 12 0
28 501 312 11 19
29 9 22 9 1
30 369 20 5 0
31 15 26 15 0
32 8 45 8 1
33 546 1901 8 66
34 2 7 2 0
35 9 31 9 2
36 11 14 11 0
37 11 26 11 0
38 0 0 0 0
39 1 6 1 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 383 5 11 0
45 0 0 0 0
46 0 0 0 0
47 258 5 6 0
48 0 0 0 0
49 7 0 7 0
50 0 0 0 0
51 8 11 8 0
